strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,2,0.5,,,,,,,13.31,15.79,11.14
baseline_random_walk,4,0,0.0,,,,,,,9.13,8.66,9.13
baseline_simple_technical,4,3,0.75,,,,,,,8.55,8.45,7.01
ugh_v2_alpha,4,3,0.75,3,0.75,2,0.5,0,0.0,9.52,9.19,7.98
ugh_v2_beta,4,3,0.75,2,0.5,2,0.5,0,0.0,10.13,10.28,8.58
ugh_v2_delta,4,3,0.75,3,0.75,2,0.5,0,0.0,9.85,9.7,8.3
ugh_v2_gamma,4,3,0.75,3,0.75,2,0.5,0,0.0,9.46,9.16,7.92
