strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,118,60,0.5085,,,,,,,43.84,28.4,28.32,2026-09-16T10:05:47Z
baseline_random_walk,118,0,0.0,,,,,,,28.24,16.12,28.24,2026-09-16T10:05:47Z
baseline_simple_technical,118,66,0.5593,,,,,,,40.12,30.92,23.08,2026-09-16T10:05:47Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-16T10:05:47Z
ugh_v2_alpha,92,49,0.5326,67,0.7283,64,0.7033,13,0.2281,31.17,15.81,23.27,2026-09-16T10:05:47Z
ugh_v2_beta,92,50,0.5435,63,0.6848,65,0.7143,16,0.2807,30.92,17.18,23.5,2026-09-16T10:05:47Z
ugh_v2_delta,92,47,0.5109,65,0.7065,66,0.7253,16,0.2807,31.15,17.37,23.58,2026-09-16T10:05:47Z
ugh_v2_gamma,92,50,0.5435,68,0.7391,66,0.7253,13,0.2281,30.92,15.83,23.35,2026-09-16T10:05:47Z
