strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,4,1.0,,,,,12.46,9.06,12.46
baseline_random_walk,4,0,0.0,,,,,18.84,12.47,18.84
baseline_simple_technical,4,4,1.0,,,,,11.29,5.52,11.29
ugh_v2_alpha,4,4,1.0,3,0.75,4,1.0,13.29,6.87,13.29
ugh_v2_beta,4,4,1.0,3,0.75,4,1.0,13.01,6.34,13.01
ugh_v2_delta,4,4,1.0,3,0.75,4,1.0,13.15,6.61,13.15
ugh_v2_gamma,4,4,1.0,3,0.75,4,1.0,13.54,7.13,13.54
