slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,4,4,1.0,,,,,12.46,9.06,12.46
regime_label,baseline_random_walk,choppy,4,0,0.0,,,,,18.84,12.47,18.84
regime_label,baseline_simple_technical,trending,4,4,1.0,,,,,11.29,5.52,11.29
regime_label,ugh_v2_alpha,trending,4,4,1.0,3,0.75,4,1.0,13.29,6.87,13.29
regime_label,ugh_v2_beta,trending,4,4,1.0,3,0.75,4,1.0,13.01,6.34,13.01
regime_label,ugh_v2_delta,trending,4,4,1.0,3,0.75,4,1.0,13.15,6.61,13.15
regime_label,ugh_v2_gamma,trending,4,4,1.0,3,0.75,4,1.0,13.54,7.13,13.54
volatility_label,baseline_prev_day_direction,low,3,3,1.0,,,,,7.08,6.23,7.08
volatility_label,baseline_prev_day_direction,normal,1,1,1.0,,,,,28.6,28.6,28.6
volatility_label,baseline_random_walk,low,3,0,0.0,,,,,10.4,9.36,10.4
volatility_label,baseline_random_walk,normal,1,0,0.0,,,,,44.19,44.19,44.19
volatility_label,baseline_simple_technical,low,3,3,1.0,,,,,4.66,3.61,4.66
volatility_label,baseline_simple_technical,normal,1,1,1.0,,,,,31.21,31.21,31.21
volatility_label,ugh_v2_alpha,low,3,3,1.0,3,1.0,3,1.0,4.6,3.4,4.6
volatility_label,ugh_v2_alpha,normal,1,1,1.0,0,0.0,1,1.0,39.36,39.36,39.36
volatility_label,ugh_v2_beta,low,3,3,1.0,3,1.0,3,1.0,4.69,3.23,4.69
volatility_label,ugh_v2_beta,normal,1,1,1.0,0,0.0,1,1.0,37.97,37.97,37.97
volatility_label,ugh_v2_delta,low,3,3,1.0,3,1.0,3,1.0,4.65,3.33,4.65
volatility_label,ugh_v2_delta,normal,1,1,1.0,0,0.0,1,1.0,38.64,38.64,38.64
volatility_label,ugh_v2_gamma,low,3,3,1.0,3,1.0,3,1.0,4.87,3.67,4.87
volatility_label,ugh_v2_gamma,normal,1,1,1.0,0,0.0,1,1.0,39.55,39.55,39.55
intervention_risk,baseline_prev_day_direction,low,4,4,1.0,,,,,12.46,9.06,12.46
intervention_risk,baseline_random_walk,low,4,0,0.0,,,,,18.84,12.47,18.84
intervention_risk,baseline_simple_technical,low,4,4,1.0,,,,,11.29,5.52,11.29
intervention_risk,ugh_v2_alpha,low,4,4,1.0,3,0.75,4,1.0,13.29,6.87,13.29
intervention_risk,ugh_v2_beta,low,4,4,1.0,3,0.75,4,1.0,13.01,6.34,13.01
intervention_risk,ugh_v2_delta,low,4,4,1.0,3,0.75,4,1.0,13.15,6.61,13.15
intervention_risk,ugh_v2_gamma,low,4,4,1.0,3,0.75,4,1.0,13.54,7.13,13.54
