strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,57,30,0.5263,,,,,33.21,20.76,20.43,2026-06-22T15:48:17Z
baseline_random_walk,57,0,0.0,,,,,21.64,15.59,21.64,2026-06-22T15:48:17Z
baseline_simple_technical,57,33,0.5789,,,,,32.67,25.16,17.85,2026-06-22T15:48:17Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-06-22T15:48:17Z
ugh_v2_alpha,31,20,0.6452,25,0.8065,20,0.6452,16.15,11.14,12.02,2026-06-22T15:48:17Z
ugh_v2_beta,31,22,0.7097,24,0.7742,22,0.7097,15.42,13.08,11.67,2026-06-22T15:48:17Z
ugh_v2_delta,31,22,0.7097,25,0.8065,21,0.6774,15.78,12.28,12.02,2026-06-22T15:48:17Z
ugh_v2_gamma,31,21,0.6774,26,0.8387,21,0.6774,15.9,11.61,11.92,2026-06-22T15:48:17Z
