strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
baseline_prev_day_direction,4,1,0.25,,,,,,,79.34,75.87,45.58,1,4,0.25
baseline_random_walk,4,0,0.0,,,,,,,79.9,59.04,79.9,0,0,
baseline_simple_technical,4,1,0.25,,,,,,,93.68,80.79,55.73,1,4,0.25
ugh_v2_alpha,4,1,0.25,2,0.5,4,1.0,1,0.25,85.16,68.17,72.26,1,3,0.3333
ugh_v2_beta,4,1,0.25,2,0.5,3,0.75,1,0.25,86.41,70.98,70.7,1,3,0.3333
ugh_v2_delta,4,0,0.0,2,0.5,4,1.0,1,0.25,87.08,69.64,72.71,0,2,0.0
ugh_v2_gamma,4,1,0.25,2,0.5,4,1.0,1,0.25,84.66,67.1,72.82,1,3,0.3333
