strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,84,46,0.5476,,,,,33.36,24.0,22.27,2026-07-29T07:47:53Z
baseline_random_walk,84,0,0.0,,,,,20.95,15.07,20.95,2026-07-29T07:47:53Z
baseline_simple_technical,84,54,0.6429,,,,,29.39,22.67,17.83,2026-07-29T07:47:53Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-07-29T07:47:53Z
ugh_v2_alpha,58,38,0.6552,40,0.6897,37,0.6379,18.14,11.29,14.93,2026-07-29T07:47:53Z
ugh_v2_beta,58,38,0.6552,36,0.6207,39,0.6724,18.16,13.35,15.01,2026-07-29T07:47:53Z
ugh_v2_delta,58,39,0.6724,38,0.6552,39,0.6724,18.13,12.31,15.03,2026-07-29T07:47:53Z
ugh_v2_gamma,58,39,0.6724,41,0.7069,39,0.6724,17.95,11.45,14.86,2026-07-29T07:47:53Z
