strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,62,33,0.5323,,,,,31.71,20.36,19.74,2026-06-29T09:53:40Z
baseline_random_walk,62,0,0.0,,,,,20.58,15.44,20.58,2026-06-29T09:53:40Z
baseline_simple_technical,62,37,0.5968,,,,,30.82,23.92,17.1,2026-06-29T09:53:40Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-06-29T09:53:40Z
ugh_v2_alpha,36,24,0.6667,29,0.8056,21,0.5833,15.25,10.91,11.51,2026-06-29T09:53:40Z
ugh_v2_beta,36,25,0.6944,27,0.75,23,0.6389,14.76,11.46,11.35,2026-06-29T09:53:40Z
ugh_v2_delta,36,25,0.6944,28,0.7778,22,0.6111,15.05,11.9,11.64,2026-06-29T09:53:40Z
ugh_v2_gamma,36,25,0.6944,30,0.8333,22,0.6111,15.01,11.11,11.41,2026-06-29T09:53:40Z
