strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,102,53,0.5196,,,,,40.05,27.85,27.26,2026-08-24T05:43:18Z
baseline_random_walk,102,0,0.0,,,,,25.22,15.07,25.22,2026-08-24T05:43:18Z
baseline_simple_technical,102,60,0.5882,,,,,36.41,24.91,21.79,2026-08-24T05:43:18Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-08-24T05:43:18Z
ugh_v2_alpha,76,42,0.5526,54,0.7105,50,0.6579,26.3,13.17,20.48,2026-08-24T05:43:18Z
ugh_v2_beta,76,43,0.5658,50,0.6579,52,0.6842,26.09,14.72,20.84,2026-08-24T05:43:18Z
ugh_v2_delta,76,42,0.5526,52,0.6842,52,0.6842,26.22,13.63,20.7,2026-08-24T05:43:18Z
ugh_v2_gamma,76,43,0.5658,55,0.7237,52,0.6842,26.06,13.1,20.52,2026-08-24T05:43:18Z
