forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260612T080000_v1_baseline_prev_day_direction_43e783371f660e23,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,baseline_prev_day_direction,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,down,-36.13707165109112,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260612T080000_v1_baseline_random_walk_dd373e4dd9ac590c,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,baseline_random_walk,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260612T080000_v1_baseline_simple_technical_88b35f4f7965e524,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,baseline_simple_technical,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,up,14.021174855432108,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260612T080000_v1_ugh_v2_alpha_4ad5da8267ff404a,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,ugh_v2_alpha,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,flat,0.0,159.69925503980778,160.1407449601922,auto,failure,0.05789441710365047,0.258003911939,0.18951452024923518,0.10105192709316575,0.10658287156830909,0.28695235204663955,positive,0.45005515996388856,0.2,1.0,0.019532143215324343,0.0,0.6200397820345684,0.02922276777016081,1.0292227677701609,0.10467856784675655,0.3977678529040829,0.8552540260940089,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260612T080000_v1_ugh_v2_beta_65655e35c5ad3ec9,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,ugh_v2_beta,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,flat,0.0,159.71137351623037,160.1286264837696,auto,failure,0.058004992930562965,0.25363996153943275,0.19031564655890781,0.10102991029432988,0.10697576519984445,0.29003372347692213,positive,0.45005515996388856,0.2,1.0,0.019532143215324343,0.0,0.6200397820345684,-0.16834476812820195,0.831655231871798,0.10467856784675655,0.4251870117538559,0.8525121102090316,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260612T080000_v1_ugh_v2_delta_a7194286665cc270,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,ugh_v2_delta,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,flat,0.0,159.70507915830729,160.1349208416927,auto,failure,0.05794895659332441,0.2558748053974578,0.18990774181447945,0.10104936035394754,0.10676580220491248,0.28845333363587816,positive,0.45005515996388856,0.2,1.0,0.019532143215324343,0.0,0.6200397820345684,-0.06572784323095315,0.9342721567690468,0.10467856784675655,0.41094545252379916,0.8539362661320373,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260612T080000_v1_ugh_v2_gamma_4987d2a7aad3fc13,fb_USDJPY_20260612T080000_v1_81ad0a2142ed88e7,USDJPY,ugh_v2_gamma,2026-06-12T08:00:00+09:00,2026-06-15T08:00:00+09:00,flat,0.0,159.69928643203133,160.14071356796865,auto,failure,0.0578947073274312,0.25799225018486505,0.18951674884195296,0.10105193612538173,0.10658340586652804,0.28696095165384106,positive,0.45005515996388856,0.2,1.0,0.019532143215324343,0.0,0.6200397820345684,0.028710980311293342,1.0287109803112933,0.10467856784675655,0.39783888067475487,0.8552469233169417,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
