forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260515T080000_v1_baseline_prev_day_direction_e9fef92f10d488a4,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,baseline_prev_day_direction,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,up,32.94684153836291,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260515T080000_v1_baseline_random_walk_8893cbf155f0168a,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,baseline_random_walk,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260515T080000_v1_baseline_simple_technical_0c838dd543805f0a,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,baseline_simple_technical,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,down,-40.09505494314667,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260515T080000_v1_ugh_v2_alpha_a988b6e3c24f04f7,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,ugh_v2_alpha,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,up,3.008385338183043,157.7425,158.95749999999998,auto,setup,0.19571091683607378,0.2231646325691617,0.12436815691107367,0.1547923237651157,0.12066210707772149,0.18130186284085376,negative,0.4386353006611059,0.8,1.0,0.1753782568167777,0.40740740740740333,0.641406218210161,0.11044048318751087,-0.7112778455460532,-0.2610322466470293,0.3587649893683732,0.7461497770452458,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260515T080000_v1_ugh_v2_beta_124570c17fab1a98,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,ugh_v2_beta,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,up,7.651710109389379,157.7425,158.95749999999998,auto,setup,0.1951351619063209,0.22525244461815636,0.12376189804321545,0.1557354601682564,0.12009744423105158,0.18001759103299936,negative,0.4386353006611059,0.8,1.0,0.1753782568167777,0.40740740740740333,0.641406218210161,0.27688210085895637,-0.5448362278746077,-0.2610322466470293,0.37848742694045734,0.7441775332880374,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260515T080000_v1_ugh_v2_delta_c328a089ad570903,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,ugh_v2_delta,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,up,5.454964984619012,157.7425,158.95749999999998,auto,setup,0.19540842256689386,0.2242695738831329,0.12404960896244246,0.1552797052975324,0.12036547891765889,0.18062721037233953,negative,0.4386353006611059,0.8,1.0,0.1753782568167777,0.40740740740740333,0.641406218210161,0.19872654473788667,-0.6229917839956775,-0.2610322466470293,0.3692264133906367,0.7451036346430194,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260515T080000_v1_ugh_v2_gamma_5165c139dcc8a013,fb_USDJPY_20260515T080000_v1_92fbd925881519de,USDJPY,ugh_v2_gamma,2026-05-15T08:00:00+09:00,2026-05-18T08:00:00+09:00,up,3.2368608578863953,157.7425,158.95749999999998,auto,setup,0.1956827524543844,0.22326827988161152,0.12433849514966577,0.15483692372293928,0.12063449255335448,0.1812390562380446,negative,0.4386353006611059,0.8,1.0,0.1753782568167777,0.40740740740740333,0.641406218210161,0.11874205680475704,-0.7029762719288071,-0.2610322466470293,0.3597486812460825,0.7460514078574748,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
