forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260619T080000_v1_baseline_prev_day_direction_9807a2734118b9fa,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,baseline_prev_day_direction,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,up,44.19270509149807,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260619T080000_v1_baseline_random_walk_2b7351f2bcec9a6f,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,baseline_random_walk,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260619T080000_v1_baseline_simple_technical_c8338f3c197daacf,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,baseline_simple_technical,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,up,14.945432071625238,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260619T080000_v1_ugh_v2_alpha_7d9048bc0a4ff29b,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,ugh_v2_alpha,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,up,6.936160711472809,161.28085832942108,161.682999321381,auto,setup,0.061096013947720205,0.28936442403703666,0.25928992662523037,0.12863766488022113,0.13029491420306938,0.1313170563067223,positive,0.397599399849942,1.0,1.0,0.1258064516129023,0.0,0.8090772693173227,0.6119698999941706,-0.3880301000058294,-0.2419354838709769,0.5167381347435847,0.8869663793607317,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260619T080000_v1_ugh_v2_beta_d7bd1bd093a696e7,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,ugh_v2_beta,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,up,7.952459817262358,161.30294114193097,161.69371654621133,auto,setup,0.06094192418701285,0.29021904216330785,0.2552296831266242,0.13108671082608797,0.13304855108750713,0.12947408860945991,positive,0.397599399849942,1.0,1.0,0.1258064516129023,0.0,0.8090772693173227,0.6957445218566396,-0.3042554781433604,-0.2419354838709769,0.5295835649365085,0.8856818363414394,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260619T080000_v1_ugh_v2_delta_02a543fe7f4dbb7f,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,ugh_v2_delta,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,up,7.32230756661921,161.28925939455777,161.6870607598473,auto,setup,0.061039143578259555,0.2897072659033611,0.25776641180516524,0.12955606081993892,0.13130447906281437,0.13062663883046077,positive,0.397599399849942,1.0,1.0,0.1258064516129023,0.0,0.8090772693173227,0.6439568586615394,-0.3560431413384606,-0.2419354838709769,0.5216427972238303,0.8864759131127071,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260619T080000_v1_ugh_v2_gamma_fce9a26ebd055a5f,fb_USDJPY_20260619T080000_v1_930a7f7166e3c0b3,USDJPY,ugh_v2_gamma,2026-06-19T08:00:00+09:00,2026-06-22T08:00:00+09:00,up,6.765150938157644,161.27713358311206,161.68120489826606,auto,setup,0.06112057657269032,0.2892057829075998,0.2599571544405032,0.1282357787852893,0.12986171092723084,0.1316189963666864,positive,0.397599399849942,1.0,1.0,0.1258064516129023,0.0,0.8090772693173227,0.5977416787864764,-0.40225832121352356,-0.2419354838709769,0.5145564761669221,0.887184545218398,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
