forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260526T080000_v1_baseline_prev_day_direction_2fb4a6466cf562fe,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,baseline_prev_day_direction,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,down,-0.6293266205172642,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260526T080000_v1_baseline_random_walk_7b461df6bfc8cfd6,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,baseline_random_walk,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260526T080000_v1_baseline_simple_technical_ef9955278fe28ee4,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,baseline_simple_technical,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,up,38.1279743202986,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260526T080000_v1_ugh_v2_alpha_85db5d15f2520b6b,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,ugh_v2_alpha,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,up,14.194484220971784,158.338,159.44199999999998,auto,setup,0.21275246740052653,0.2263844591924002,0.10411919030808955,0.16164947666821078,0.10408492897312538,0.19100947745764763,positive,0.5619523178556772,0.6,1.0,0.2007150802340212,0.5706521739130475,0.8496932529389889,0.4325016524451778,0.4490072925096231,0.0341535454858829,0.7215439261120271,0.7028456073887973,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260526T080000_v1_ugh_v2_beta_302d6724b942f741,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,ugh_v2_beta,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,up,11.52382976252239,158.338,159.44199999999998,auto,setup,0.2131440120590592,0.22367746582994713,0.10459317270370393,0.16172941710945524,0.10455867624359293,0.19229725605424164,positive,0.5619523178556772,0.6,1.0,0.2007150802340212,0.5706521739130475,0.8496932529389889,0.3476108285667284,0.36411646863117375,0.0341535454858829,0.7389608324675708,0.7011039167532429,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260526T080000_v1_ugh_v2_delta_ffa50d978896c13b,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,ugh_v2_delta,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,up,13.040866833739694,158.338,159.44199999999998,auto,setup,0.21292327318862622,0.22520016303800647,0.10432545597081294,0.16169012888711073,0.10429109206673585,0.19156988684870793,positive,0.5619523178556772,0.6,1.0,0.2007150802340212,0.5706521739130475,0.8496932529389889,0.39561201248748695,0.41211765255193233,0.0341535454858829,0.7291125109752484,0.7020887489024752,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260526T080000_v1_ugh_v2_gamma_2eaf36d7f89549b4,fb_USDJPY_20260526T080000_v1_2b3b822cfce9611e,USDJPY,ugh_v2_gamma,2026-05-26T08:00:00+09:00,2026-05-27T08:00:00+09:00,up,13.228746536350618,158.338,159.44199999999998,auto,setup,0.2128956316679966,0.22539146303588806,0.10429202366486742,0.1616841517324667,0.1042576763595908,0.19147905353919042,positive,0.5619523178556772,0.6,1.0,0.2007150802340212,0.5706521739130475,0.8496932529389889,0.4015967761503569,0.41810241621480226,0.0341535454858829,0.7278846271650322,0.7022115372834968,0,v2,v2,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
