strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,111,57,0.5135,,,,,41.74,27.86,28.2,2026-09-07T13:33:58Z
baseline_random_walk,111,0,0.0,,,,,26.61,15.1,26.61,2026-09-07T13:33:58Z
baseline_simple_technical,111,62,0.5586,,,,,39.1,30.63,23.3,2026-09-07T13:33:58Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-09-07T13:33:58Z
ugh_v2_alpha,85,46,0.5412,61,0.7176,58,0.6905,28.25,13.78,22.25,2026-09-07T13:33:58Z
ugh_v2_beta,85,47,0.5529,57,0.6706,59,0.7024,28.12,14.8,22.39,2026-09-07T13:33:58Z
ugh_v2_delta,85,45,0.5294,59,0.6941,60,0.7143,28.26,13.8,22.42,2026-09-07T13:33:58Z
ugh_v2_gamma,85,47,0.5529,62,0.7294,60,0.7143,28.0,13.8,22.31,2026-09-07T13:33:58Z
