strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,2,0.5,,,,,54.86,52.28,47.02
baseline_random_walk,4,0,0.0,,,,,32.64,30.82,32.64
baseline_simple_technical,4,2,0.5,,,,,50.25,43.59,26.32
ugh,4,2,0.5,1,0.25,4,1.0,32.72,30.89,32.39
