strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,48,24,0.5,,,,,34.9,22.65,21.2,2026-06-09T08:35:57Z
baseline_random_walk,48,0,0.0,,,,,22.32,16.12,22.32,2026-06-09T08:35:57Z
baseline_simple_technical,48,26,0.5417,,,,,36.25,33.58,19.46,2026-06-09T08:35:57Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-06-09T08:35:57Z
ugh_v2_alpha,22,14,0.6364,20,0.9091,15,0.6818,16.4,11.22,11.74,2026-06-09T08:35:57Z
ugh_v2_beta,22,16,0.7273,19,0.8636,17,0.7727,15.32,13.13,11.28,2026-06-09T08:35:57Z
ugh_v2_delta,22,16,0.7273,20,0.9091,16,0.7273,15.85,12.29,11.77,2026-06-09T08:35:57Z
ugh_v2_gamma,22,15,0.6818,20,0.9091,16,0.7273,16.0,11.78,11.51,2026-06-09T08:35:57Z
