strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,30,14,0.4667,,,,,47.05,43.01,27.48,2026-05-14T07:48:04Z
baseline_random_walk,30,0,0.0,,,,,27.37,18.87,27.37,2026-05-14T07:48:04Z
baseline_simple_technical,30,15,0.5,,,,,39.91,37.16,20.16,2026-05-14T07:48:04Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-05-14T07:48:04Z
ugh_v2_alpha,4,1,0.25,4,1.0,3,0.75,32.12,25.89,20.95,2026-05-14T07:48:04Z
ugh_v2_beta,4,2,0.5,4,1.0,4,1.0,30.42,21.95,22.31,2026-05-14T07:48:04Z
ugh_v2_delta,4,2,0.5,4,1.0,3,0.75,31.57,23.33,23.24,2026-05-14T07:48:04Z
ugh_v2_gamma,4,1,0.25,4,1.0,3,0.75,31.84,25.65,21.3,2026-05-14T07:48:04Z
