strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,3,0.75,,,,,,,62.06,51.96,42.18
baseline_random_walk,4,0,0.0,,,,,,,28.96,7.22,28.96
baseline_simple_technical,4,0,0.0,,,,,,,65.27,43.98,39.44
ugh_v2_alpha,4,0,0.0,3,0.75,4,1.0,1,0.25,43.26,16.32,16.55
ugh_v2_beta,4,1,0.25,3,0.75,3,0.75,2,0.5,40.27,9.6,17.44
ugh_v2_delta,4,0,0.0,3,0.75,3,0.75,2,0.5,42.5,13.48,15.75
ugh_v2_gamma,4,0,0.0,3,0.75,4,1.0,1,0.25,42.39,15.49,17.05
