slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,4,3,0.75,,,,,,,62.06,51.96,42.18
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,28.96,7.22,28.96
regime_label,baseline_simple_technical,trending,4,0,0.0,,,,,,,65.27,43.98,39.44
regime_label,ugh_v2_alpha,trending,4,0,0.0,3,0.75,4,1.0,1,0.25,43.26,16.32,16.55
regime_label,ugh_v2_beta,trending,4,1,0.25,3,0.75,3,0.75,2,0.5,40.27,9.6,17.44
regime_label,ugh_v2_delta,trending,4,0,0.0,3,0.75,3,0.75,2,0.5,42.5,13.48,15.75
regime_label,ugh_v2_gamma,trending,4,0,0.0,3,0.75,4,1.0,1,0.25,42.39,15.49,17.05
volatility_label,baseline_prev_day_direction,low,2,2,1.0,,,,,,,51.02,51.02,51.02
volatility_label,baseline_prev_day_direction,normal,2,1,0.5,,,,,,,73.1,73.1,33.33
volatility_label,baseline_random_walk,low,2,0,0.0,,,,,,,3.45,3.45,3.45
volatility_label,baseline_random_walk,normal,2,0,0.0,,,,,,,54.47,54.47,54.47
volatility_label,baseline_simple_technical,low,2,0,0.0,,,,,,,40.44,40.44,33.53
volatility_label,baseline_simple_technical,normal,2,0,0.0,,,,,,,90.1,90.1,45.34
volatility_label,ugh_v2_alpha,low,2,0,0.0,2,1.0,2,1.0,0,0.0,7.54,7.54,3.15
volatility_label,ugh_v2_alpha,normal,2,0,0.0,1,0.5,2,1.0,1,0.5,78.99,78.99,29.96
volatility_label,ugh_v2_beta,low,2,1,0.5,2,1.0,2,1.0,0,0.0,3.23,3.23,3.23
volatility_label,ugh_v2_beta,normal,2,0,0.0,1,0.5,1,0.5,2,1.0,77.3,77.3,31.64
volatility_label,ugh_v2_delta,low,2,0,0.0,2,1.0,2,1.0,0,0.0,5.97,5.97,1.58
volatility_label,ugh_v2_delta,normal,2,0,0.0,1,0.5,1,0.5,2,1.0,79.03,79.03,29.91
volatility_label,ugh_v2_gamma,low,2,0,0.0,2,1.0,2,1.0,0,0.0,7.16,7.16,2.77
volatility_label,ugh_v2_gamma,normal,2,0,0.0,1,0.5,2,1.0,1,0.5,77.62,77.62,31.33
intervention_risk,baseline_prev_day_direction,low,3,3,1.0,,,,,,,36.53,7.54,36.53
intervention_risk,baseline_prev_day_direction,medium,1,0,0.0,,,,,,,138.67,138.67,59.13
intervention_risk,baseline_random_walk,low,3,0,0.0,,,,,,,5.65,4.39,5.65
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,,,98.9,98.9,98.9
intervention_risk,baseline_simple_technical,low,3,0,0.0,,,,,,,42.49,41.37,31.19
intervention_risk,baseline_simple_technical,medium,1,0,0.0,,,,,,,133.61,133.61,64.18
intervention_risk,ugh_v2_alpha,low,3,0,0.0,3,1.0,3,1.0,0,0.0,11.72,12.57,2.11
intervention_risk,ugh_v2_alpha,medium,1,0,0.0,0,0.0,1,1.0,1,1.0,137.91,137.91,59.89
intervention_risk,ugh_v2_beta,low,3,1,0.3333,3,1.0,2,0.6667,1,0.3333,7.09,4.39,3.92
intervention_risk,ugh_v2_beta,medium,1,0,0.0,0,0.0,1,1.0,1,1.0,139.8,139.8,58.0
intervention_risk,ugh_v2_delta,low,3,0,0.0,3,1.0,2,0.6667,1,0.3333,9.82,9.43,1.91
intervention_risk,ugh_v2_delta,medium,1,0,0.0,0,0.0,1,1.0,1,1.0,140.54,140.54,57.25
intervention_risk,ugh_v2_gamma,low,3,0,0.0,3,1.0,3,1.0,0,0.0,11.16,11.81,2.16
intervention_risk,ugh_v2_gamma,medium,1,0,0.0,0,0.0,1,1.0,1,1.0,136.07,136.07,61.72
