strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,5,3,0.6,,,,,,,12.75,13.12,11.75
baseline_random_walk,5,0,0.0,,,,,,,8.87,8.76,8.87
baseline_simple_technical,5,4,0.8,,,,,,,10.0,14.16,9.51
ugh_v2_alpha,5,4,0.8,4,0.8,2,0.4,,,8.6,8.5,8.1
ugh_v2_beta,5,4,0.8,3,0.6,2,0.4,,,9.32,9.82,8.82
ugh_v2_delta,5,4,0.8,4,0.8,2,0.4,,,8.99,9.23,8.49
ugh_v2_gamma,5,4,0.8,4,0.8,2,0.4,,,8.28,8.78,7.78
