slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,5,3,0.6,,,,,,,12.75,13.12,11.75
regime_label,baseline_random_walk,trending,5,0,0.0,,,,,,,8.87,8.76,8.87
regime_label,baseline_simple_technical,trending,5,4,0.8,,,,,,,10.0,14.16,9.51
regime_label,ugh_v2_alpha,trending,5,4,0.8,4,0.8,2,0.4,,,8.6,8.5,8.1
regime_label,ugh_v2_beta,trending,5,4,0.8,3,0.6,2,0.4,,,9.32,9.82,8.82
regime_label,ugh_v2_delta,trending,5,4,0.8,4,0.8,2,0.4,,,8.99,9.23,8.49
regime_label,ugh_v2_gamma,trending,5,4,0.8,4,0.8,2,0.4,,,8.28,8.78,7.78
volatility_label,baseline_prev_day_direction,high,1,1,1.0,,,,,,,6.28,6.28,6.28
volatility_label,baseline_prev_day_direction,normal,4,2,0.5,,,,,,,14.37,14.37,13.12
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,,,8.76,8.76,8.76
volatility_label,baseline_random_walk,normal,4,0,0.0,,,,,,,8.9,8.43,8.9
volatility_label,baseline_simple_technical,high,1,1,1.0,,,,,,,14.16,14.16,14.16
volatility_label,baseline_simple_technical,normal,4,3,0.75,,,,,,,8.97,7.87,8.34
volatility_label,ugh_v2_alpha,high,1,1,1.0,1,1.0,1,1.0,,,4.66,4.66,4.66
volatility_label,ugh_v2_alpha,normal,4,3,0.75,3,0.75,1,0.25,,,9.58,9.58,8.96
volatility_label,ugh_v2_beta,high,1,1,1.0,1,1.0,1,1.0,,,4.66,4.66,4.66
volatility_label,ugh_v2_beta,normal,4,3,0.75,2,0.5,1,0.25,,,10.48,9.94,9.86
volatility_label,ugh_v2_delta,high,1,1,1.0,1,1.0,1,1.0,,,4.68,4.68,4.68
volatility_label,ugh_v2_delta,normal,4,3,0.75,3,0.75,1,0.25,,,10.06,9.77,9.44
volatility_label,ugh_v2_gamma,high,1,1,1.0,1,1.0,1,1.0,,,3.54,3.54,3.54
volatility_label,ugh_v2_gamma,normal,4,3,0.75,3,0.75,1,0.25,,,9.47,9.47,8.84
intervention_risk,baseline_prev_day_direction,low,5,3,0.6,,,,,,,12.75,13.12,11.75
intervention_risk,baseline_random_walk,low,5,0,0.0,,,,,,,8.87,8.76,8.87
intervention_risk,baseline_simple_technical,low,5,4,0.8,,,,,,,10.0,14.16,9.51
intervention_risk,ugh_v2_alpha,low,5,4,0.8,4,0.8,2,0.4,,,8.6,8.5,8.1
intervention_risk,ugh_v2_beta,low,5,4,0.8,3,0.6,2,0.4,,,9.32,9.82,8.82
intervention_risk,ugh_v2_delta,low,5,4,0.8,4,0.8,2,0.4,,,8.99,9.23,8.49
intervention_risk,ugh_v2_gamma,low,5,4,0.8,4,0.8,2,0.4,,,8.28,8.78,7.78
