evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260511T080000_v1_baseline_prev_day_direction_5320fca7245d5703_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_fe7ecb562d54eed6,fc_USDJPY_20260511T080000_v1_baseline_prev_day_direction_5320fca7245d5703,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,baseline_prev_day_direction,False,,64.53322673416781,33.93854256054544,,,,,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260511T080000_v1_baseline_random_walk_db07fc1b687fbe13_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_992c84060dcdfea7,fc_USDJPY_20260511T080000_v1_baseline_random_walk_db07fc1b687fbe13,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,baseline_random_walk,False,,49.23588464735663,49.23588464735663,,,,,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260511T080000_v1_baseline_simple_technical_cc0b6bdadbab6455_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_33d051fe0687921c,fc_USDJPY_20260511T080000_v1_baseline_simple_technical_cc0b6bdadbab6455,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,baseline_simple_technical,False,,86.13558966710346,12.336179627609802,,,,,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260511T080000_v1_ugh_v2_alpha_074af5202c3e8188_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_4af89f193bc98f81,fc_USDJPY_20260511T080000_v1_ugh_v2_alpha_074af5202c3e8188,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,ugh_v2_alpha,False,True,65.55217353299571,32.919595761717545,True,65.55217353299571,setup,False,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260511T080000_v1_ugh_v2_beta_3a7387ba39954d9e_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_9da435e4b88a75fc,fc_USDJPY_20260511T080000_v1_ugh_v2_beta_3a7387ba39954d9e,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,ugh_v2_beta,False,True,62.8327934470721,35.638975847641156,True,62.8327934470721,setup,False,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260511T080000_v1_ugh_v2_delta_11020fc97265db59_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_8d5578117f4c4733,fc_USDJPY_20260511T080000_v1_ugh_v2_delta_11020fc97265db59,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,ugh_v2_delta,False,True,64.76161154631015,33.710157748403105,True,64.76161154631015,setup,False,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260511T080000_v1_ugh_v2_gamma_6cf70efd8d11c935_oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac_v1_4669d0602b610545,fc_USDJPY_20260511T080000_v1_ugh_v2_gamma_6cf70efd8d11c935,oc_USDJPY_20260511T080000_20260512T080000_v1_914c903c192fb6ac,USDJPY,ugh_v2_gamma,False,True,64.79606709885898,33.67570219585427,True,64.79606709885898,setup,False,,False,2026-05-12T07:48:16.885022+00:00,v2,v2,v1,v1
