forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260915T080000_v1_baseline_prev_day_direction_6151dfe8351da279,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,baseline_prev_day_direction,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,up,63.89776357827409,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260915T080000_v1_baseline_random_walk_999f69f4ec38b3f8,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,baseline_random_walk,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260915T080000_v1_baseline_simple_technical_4cd2964e1070d85a,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,baseline_simple_technical,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,down,-45.899194599191944,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260915T080000_v1_ugh_v2_alpha_65fdfe5123a1ed88,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,ugh_v2_alpha,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,down,-7.165199649802131,152.77875,155.92125,auto,fire,0.05455918906680434,0.17212787005349015,0.31412341509358244,0.13485337851809556,0.06786633639013442,0.25646981087789306,negative,1.0,0.5,1.0,0.075,0.0,0.5,-0.14419069440251647,-1.1441906944025164,0.0,0.35697616319968545,0.8802630042050933,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260915T080000_v1_ugh_v2_beta_2dd88012fb509a51,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,ugh_v2_beta,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,up,5.0616657577386155,152.77875,155.92125,auto,fire,0.05459003467687863,0.17537691588615031,0.312176107810979,0.13673650859868144,0.06807544593218533,0.2530449870951253,negative,1.0,0.5,1.0,0.075,0.0,0.5,0.0997482089558613,-0.9002517910441387,0.0,0.3874685261194827,0.8772137679131136,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260915T080000_v1_ugh_v2_delta_993446648cedbd27,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,ugh_v2_delta,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,flat,0.0,152.77875,155.92125,auto,fire,0.054568848682854006,0.17374334395086447,0.31318495065037755,0.13576068918341172,0.06787835201506286,0.25486381551742926,negative,1.0,0.5,1.0,0.075,0.0,0.5,-0.01996279961096198,-1.019962799610962,0.0,0.37250465004862976,0.8787101555201988,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260915T080000_v1_ugh_v2_gamma_ab53b36d8901c2c7,fb_USDJPY_20260915T080000_v1_a9c6d767d941d483,USDJPY,ugh_v2_gamma,2026-09-15T08:00:00+09:00,2026-09-16T08:00:00+09:00,down,-6.7217378309770215,152.77875,155.92125,auto,fire,0.054559928398818375,0.17224374243145468,0.3140566730855305,0.1349168216936308,0.06786725604740987,0.2563555783431558,negative,1.0,0.5,1.0,0.075,0.0,0.5,-0.1351605282494417,-1.1351605282494417,0.0,0.3581049339688198,0.8801501271281799,0,v2,v2.6,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
