strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,1,0.25,,,,,21.07,20.77,13.22
baseline_random_walk,4,0,0.0,,,,,14.45,16.0,14.45
baseline_simple_technical,4,2,0.5,,,,,32.76,31.8,23.67
ugh_v2_alpha,4,2,0.5,4,1.0,1,0.25,18.87,15.73,9.78
ugh_v2_beta,4,2,0.5,4,1.0,2,0.5,19.17,16.61,10.08
ugh_v2_delta,4,2,0.5,4,1.0,2,0.5,19.11,16.1,10.02
ugh_v2_gamma,4,2,0.5,4,1.0,2,0.5,17.83,15.45,8.74
