forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260616T080000_v1_baseline_prev_day_direction_c69aa98009243b3d,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,baseline_prev_day_direction,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,up,6.241418050180646,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260616T080000_v1_baseline_random_walk_2a52377381563537,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,baseline_random_walk,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260616T080000_v1_baseline_simple_technical_cfd60091e72104e5,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,baseline_simple_technical,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,up,12.967603883585713,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260616T080000_v1_ugh_v2_alpha_615ef42c7ae1328c,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,ugh_v2_alpha,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,up,5.953631137917669,160.31781489671616,160.51308233209002,auto,setup,0.06163142772157404,0.3885027946371667,0.18707563469497981,0.15537991547844188,0.12900094928152245,0.07840927818631514,positive,0.36635083258701456,0.8,1.0,0.11837177407739016,0.0,0.9685468718032634,0.47170762152601364,-0.009600884363881845,-0.016282259226098272,0.9466115262676336,0.792518029563298,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260616T080000_v1_ugh_v2_beta_bd78e0ab242a9412,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,ugh_v2_beta,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,up,6.126151008155185,160.32097968599686,160.5154492199286,auto,setup,0.06151075622499942,0.389170163772703,0.18636531432001668,0.15589958257680753,0.12886085040206424,0.07819333270340913,positive,0.36635083258701456,0.8,1.0,0.11837177407739016,0.0,0.9685468718032634,0.4850273130381566,0.0037188071482611162,-0.016282259226098272,0.9480126028569448,0.7923779219043668,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260616T080000_v1_ugh_v2_delta_4c26b5e2a88663b4,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,ugh_v2_delta,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,up,6.027622869818286,160.31937680852226,160.51389289117557,auto,setup,0.06157825366732678,0.3887378968850802,0.1867507878302239,0.1556549175416757,0.12896514069022713,0.07831300338546643,positive,0.36635083258701456,0.8,1.0,0.11837177407739016,0.0,0.9685468718032634,0.47724654461238036,-0.004061961277515125,-0.016282259226098272,0.9479308655387494,0.7923860956361863,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260616T080000_v1_ugh_v2_gamma_95f4e0516f07bfd8,fb_USDJPY_20260616T080000_v1_93e63ad07577f528,USDJPY,ugh_v2_gamma,2026-06-16T08:00:00+09:00,2026-06-17T08:00:00+09:00,up,5.683842235441334,160.31211575132926,160.51013096610797,auto,setup,0.06183405480742405,0.38722684630607096,0.18797197724028647,0.15420323948284714,0.1291248490014394,0.07963903316193204,positive,0.36635083258701456,0.8,1.0,0.11837177407739016,0.0,0.9685468718032634,0.45145117157274417,-0.02985733431715132,-0.016282259226098272,0.9417865576771656,0.7930005264223448,0,v2,v2.3,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
