strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,31,15,0.4839,,,,,46.06,42.65,27.12,2026-05-15T08:07:53Z
baseline_random_walk,31,0,0.0,,,,,27.55,20.69,27.55,2026-05-15T08:07:53Z
baseline_simple_technical,31,15,0.4839,,,,,40.95,37.34,19.71,2026-05-15T08:07:53Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-05-15T08:07:53Z
ugh_v2_alpha,5,1,0.2,5,1.0,4,0.8,32.42,31.86,23.21,2026-05-15T08:07:53Z
ugh_v2_beta,5,3,0.6,5,1.0,5,1.0,30.15,25.97,23.66,2026-05-15T08:07:53Z
ugh_v2_delta,5,3,0.6,5,1.0,4,0.8,31.51,29.02,24.84,2026-05-15T08:07:53Z
ugh_v2_gamma,5,2,0.4,5,1.0,4,0.8,32.06,31.63,23.62,2026-05-15T08:07:53Z
