strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,5,3,0.6,,,,,,,35.13,43.53,33.66
baseline_random_walk,5,0,0.0,,,,,,,19.41,8.01,19.41
baseline_simple_technical,5,4,0.8,,,,,,,20.96,22.57,20.23
ugh_v2_alpha,5,4,0.8,3,0.6,5,1.0,0,0.0,20.35,12.23,19.61
ugh_v2_beta,5,4,0.8,3,0.6,5,1.0,0,0.0,21.58,14.63,20.84
ugh_v2_delta,5,4,0.8,3,0.6,5,1.0,0,0.0,20.99,13.46,20.26
ugh_v2_gamma,5,4,0.8,3,0.6,5,1.0,0,0.0,20.21,11.29,19.47
