evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260713T080000_v1_baseline_prev_day_direction_7292b2f43e990678_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_d08064a51b954dee,fc_USDJPY_20260713T080000_v1_baseline_prev_day_direction_7292b2f43e990678,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,baseline_prev_day_direction,False,,95.1106553439368,11.351340199512727,,,,,,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260713T080000_v1_baseline_random_walk_f859079f6b52d6af_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_8776f9c77c06019c,fc_USDJPY_20260713T080000_v1_baseline_random_walk_f859079f6b52d6af,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,baseline_random_walk,False,,53.23099777172476,53.23099777172476,,,,,,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260713T080000_v1_baseline_simple_technical_c8b49e9b6afa18c9_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_42e1359586562c9f,fc_USDJPY_20260713T080000_v1_baseline_simple_technical_c8b49e9b6afa18c9,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,baseline_simple_technical,True,,32.271466248349064,32.271466248349064,,,,,,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260713T080000_v1_ugh_v2_alpha_58b5b2cac1768d21_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_41c098d957a82c63,fc_USDJPY_20260713T080000_v1_ugh_v2_alpha_58b5b2cac1768d21,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,ugh_v2_alpha,False,False,53.23099777172476,53.23099777172476,True,False,53.23099777172476,setup,False,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260713T080000_v1_ugh_v2_beta_f339e0f5f9d6205c_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_6d33e9090bb75684,fc_USDJPY_20260713T080000_v1_ugh_v2_beta_f339e0f5f9d6205c,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,ugh_v2_beta,False,False,53.23099777172476,53.23099777172476,False,False,53.23099777172476,setup,True,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260713T080000_v1_ugh_v2_delta_14c359d7f4ef23e8_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_984d2e076a0f12dd,fc_USDJPY_20260713T080000_v1_ugh_v2_delta_14c359d7f4ef23e8,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,ugh_v2_delta,False,False,53.23099777172476,53.23099777172476,True,False,53.23099777172476,setup,False,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260713T080000_v1_ugh_v2_gamma_4c29c572098a23a2_oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610_v1_d2ac0a8793af5c19,fc_USDJPY_20260713T080000_v1_ugh_v2_gamma_4c29c572098a23a2,oc_USDJPY_20260713T080000_20260714T080000_v1_aad897f70e465610,USDJPY,ugh_v2_gamma,False,False,53.23099777172476,53.23099777172476,True,False,53.23099777172476,setup,False,,False,2026-07-14T07:14:38.089252+00:00,v2,v2.5,v1,v1
