strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,108,56,0.5185,,,,,39.04,26.82,26.12,2026-09-02T09:24:47Z
baseline_random_walk,108,0,0.0,,,,,24.59,15.01,24.59,2026-09-02T09:24:47Z
baseline_simple_technical,108,62,0.5741,,,,,36.56,26.63,21.84,2026-09-02T09:24:47Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-09-02T09:24:47Z
ugh_v2_alpha,82,46,0.561,60,0.7317,55,0.679,25.38,12.54,19.69,2026-09-02T09:24:47Z
ugh_v2_beta,82,46,0.561,56,0.6829,57,0.7037,25.22,14.21,20.0,2026-09-02T09:24:47Z
ugh_v2_delta,82,45,0.5488,58,0.7073,57,0.7037,25.35,13.35,19.9,2026-09-02T09:24:47Z
ugh_v2_gamma,82,47,0.5732,61,0.7439,57,0.7037,25.14,12.37,19.73,2026-09-02T09:24:47Z
