strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,56,30,0.5357,,,,,32.92,20.73,20.1,2026-06-19T13:58:50Z
baseline_random_walk,56,0,0.0,,,,,21.93,15.67,21.93,2026-06-19T13:58:50Z
baseline_simple_technical,56,33,0.5893,,,,,32.89,25.87,18.0,2026-06-19T13:58:50Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-06-19T13:58:50Z
ugh_v2_alpha,30,20,0.6667,25,0.8333,19,0.6333,16.28,11.06,12.37,2026-06-19T13:58:50Z
ugh_v2_beta,30,22,0.7333,24,0.8,21,0.7,15.48,11.88,11.98,2026-06-19T13:58:50Z
ugh_v2_delta,30,22,0.7333,25,0.8333,20,0.6667,15.88,12.21,12.37,2026-06-19T13:58:50Z
ugh_v2_gamma,30,21,0.7,25,0.8333,20,0.6667,16.02,11.44,12.28,2026-06-19T13:58:50Z
