evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260824T080000_v1_baseline_prev_day_direction_91d3adb8da53c9e7_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_2a2f87c109869c51,fc_USDJPY_20260824T080000_v1_baseline_prev_day_direction_91d3adb8da53c9e7,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,baseline_prev_day_direction,False,,16.989088453559006,6.926828218355674,,,,,,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260824T080000_v1_baseline_random_walk_b1606799e6d9a5d9_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_ad030723fbd76014,fc_USDJPY_20260824T080000_v1_baseline_random_walk_b1606799e6d9a5d9,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,baseline_random_walk,False,,11.95795833595734,11.95795833595734,,,,,,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260824T080000_v1_baseline_simple_technical_5a223e8cc7995dcc_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_1684bab994e6e48a,fc_USDJPY_20260824T080000_v1_baseline_simple_technical_5a223e8cc7995dcc,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,baseline_simple_technical,False,,53.207197167382475,29.29128049546779,,,,,,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260824T080000_v1_ugh_v2_alpha_507af6cdc63e47a3_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_7e6fbfdaa8560f80,fc_USDJPY_20260824T080000_v1_ugh_v2_alpha_507af6cdc63e47a3,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,ugh_v2_alpha,False,True,11.95795833595734,11.95795833595734,True,True,11.95795833595734,setup,False,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260824T080000_v1_ugh_v2_beta_ca6e747b3bed0a20_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_ae1155b1b8d82d90,fc_USDJPY_20260824T080000_v1_ugh_v2_beta_ca6e747b3bed0a20,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,ugh_v2_beta,False,True,11.95795833595734,11.95795833595734,True,True,11.95795833595734,setup,False,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260824T080000_v1_ugh_v2_delta_5ec5211ac63bc935_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_2c352c92206e4f03,fc_USDJPY_20260824T080000_v1_ugh_v2_delta_5ec5211ac63bc935,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,ugh_v2_delta,False,True,11.95795833595734,11.95795833595734,True,True,11.95795833595734,setup,False,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260824T080000_v1_ugh_v2_gamma_69871c62e4d86bc1_oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d_v1_b6d4ae451a3a041d,fc_USDJPY_20260824T080000_v1_ugh_v2_gamma_69871c62e4d86bc1,oc_USDJPY_20260824T080000_20260825T080000_v1_bdc0bc20c949a53d,USDJPY,ugh_v2_gamma,False,True,11.95795833595734,11.95795833595734,True,True,11.95795833595734,setup,False,,False,2026-08-25T05:37:09.881429+00:00,v2,v2.6,v1,v1
