evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260422T080000_v1_baseline_prev_day_direction_b11839713d33420e_oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b_v1_1794bdc8029c5ca2,fc_USDJPY_20260422T080000_v1_baseline_prev_day_direction_b11839713d33420e,oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b,USDJPY,baseline_prev_day_direction,True,,30.892656036089264,30.892656036089264,,,,,,False,2026-04-23T07:01:51.094266+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260422T080000_v1_baseline_random_walk_3d0c0c5c4d3bfcff_oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b_v1_7e8fc6d441ebad35,fc_USDJPY_20260422T080000_v1_baseline_random_walk_3d0c0c5c4d3bfcff,oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b,USDJPY,baseline_random_walk,False,,7.530120481926212,7.530120481926212,,,,,,False,2026-04-23T07:01:51.094266+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260422T080000_v1_baseline_simple_technical_d41d96812f03dd75_oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b_v1_99c150b442cbf2fd,fc_USDJPY_20260422T080000_v1_baseline_simple_technical_d41d96812f03dd75,oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b,USDJPY,baseline_simple_technical,False,,33.127515268696555,18.067274304844133,,,,,,False,2026-04-23T07:01:51.094266+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260422T080000_v1_ugh_ac365b24654ac6af_oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b_v1_90d931f6cbb72be2,fc_USDJPY_20260422T080000_v1_ugh_ac365b24654ac6af,oc_USDJPY_20260422T080000_20260423T080000_v1_c529c34c6d264b8b,USDJPY,ugh,False,True,7.620861908820788,7.439379055031636,True,7.620861908820788,setup,False,,False,2026-04-23T07:01:51.094266+00:00,v1,v1,v1,v1
