evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260804T080000_v1_baseline_prev_day_direction_ebf460bde3b1b78b_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_6ba51d6755b1c9b8,fc_USDJPY_20260804T080000_v1_baseline_prev_day_direction_ebf460bde3b1b78b,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,baseline_prev_day_direction,False,,39.44603216520648,30.541879013773148,,,,,,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260804T080000_v1_baseline_random_walk_cf1d21d793ac0e61_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_23fb5d016c1804b5,fc_USDJPY_20260804T080000_v1_baseline_random_walk_cf1d21d793ac0e61,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,baseline_random_walk,False,,34.993955589489815,34.993955589489815,,,,,,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260804T080000_v1_baseline_simple_technical_61066e14868545f9_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_901dec4fd2fbab89,fc_USDJPY_20260804T080000_v1_baseline_simple_technical_61066e14868545f9,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,baseline_simple_technical,False,,68.03148060135446,1.95643057762517,,,,,,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260804T080000_v1_ugh_v2_alpha_72d132dc20da27e7_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_ec768fa54be1774d,fc_USDJPY_20260804T080000_v1_ugh_v2_alpha_72d132dc20da27e7,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,ugh_v2_alpha,False,True,52.029151932731935,17.9587592462477,True,False,52.029151932731935,fire,False,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260804T080000_v1_ugh_v2_beta_657d7e0fac44177c_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_80a0ff924ae1b3ac,fc_USDJPY_20260804T080000_v1_ugh_v2_beta_657d7e0fac44177c,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,ugh_v2_beta,False,True,45.984143991626304,24.003767187353326,True,False,45.984143991626304,fire,False,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260804T080000_v1_ugh_v2_delta_6af253c622ef6b29_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_631101cee09662b3,fc_USDJPY_20260804T080000_v1_ugh_v2_delta_6af253c622ef6b29,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,ugh_v2_delta,False,True,48.73465662821589,21.253254550763742,True,False,48.73465662821589,fire,False,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260804T080000_v1_ugh_v2_gamma_15d904db2bacafe8_oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403_v1_af09ed19a274db46,fc_USDJPY_20260804T080000_v1_ugh_v2_gamma_15d904db2bacafe8,oc_USDJPY_20260804T080000_20260805T080000_v1_aa6eb1edd7107403,USDJPY,ugh_v2_gamma,False,True,52.029151932731935,17.9587592462477,True,False,52.029151932731935,fire,False,,False,2026-08-05T07:44:40.528045+00:00,v2,v2.6,v1,v1
