evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260416T080000_v1_baseline_prev_day_direction_6030af2a13938596_oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60_v1_d074fc2b9ef12fdb,fc_USDJPY_20260416T080000_v1_baseline_prev_day_direction_6030af2a13938596,oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60,USDJPY,baseline_prev_day_direction,True,,1.245187966352054,1.245187966352054,,,,,,False,2026-04-17T06:58:29.178143+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260416T080000_v1_baseline_random_walk_9bb4e131d3b7d999_oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60_v1_4bc25c7b793788f2,fc_USDJPY_20260416T080000_v1_baseline_random_walk_9bb4e131d3b7d999,oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60,USDJPY,baseline_random_walk,False,,11.320754716981561,11.320754716981561,,,,,,False,2026-04-17T06:58:29.178143+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260416T080000_v1_baseline_simple_technical_62ad6ab04af0b514_oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60_v1_bdfaad1afb6a9f1b,fc_USDJPY_20260416T080000_v1_baseline_simple_technical_62ad6ab04af0b514,oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60,USDJPY,baseline_simple_technical,False,,47.01268829695185,24.371178862988728,,,,,,False,2026-04-17T06:58:29.178143+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260416T080000_v1_ugh_2eaf1360a4cdcfbb_oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60_v1_68e734ea8e583298,fc_USDJPY_20260416T080000_v1_ugh_2eaf1360a4cdcfbb,oc_USDJPY_20260416T080000_20260417T080000_v1_47566573359d4c60,USDJPY,ugh,False,True,11.421716372041207,11.219793061921916,True,11.421716372041207,setup,False,,False,2026-04-17T06:58:29.178143+00:00,v1,v1,v1,v1
