evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260721T080000_v1_baseline_prev_day_direction_02e248ffe0fde8f0_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_f473579070908679,fc_USDJPY_20260721T080000_v1_baseline_prev_day_direction_02e248ffe0fde8f0,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,baseline_prev_day_direction,True,,34.462480711469404,34.462480711469404,,,,,,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260721T080000_v1_baseline_random_walk_d5dfd9a38d5ae18f_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_782212f17f522a7f,fc_USDJPY_20260721T080000_v1_baseline_random_walk_d5dfd9a38d5ae18f,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,baseline_random_walk,False,,42.469378962269815,42.469378962269815,,,,,,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260721T080000_v1_baseline_simple_technical_6faa611b4404a79c_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_b3d4b724c9e879b7,fc_USDJPY_20260721T080000_v1_baseline_simple_technical_6faa611b4404a79c,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,baseline_simple_technical,True,,22.069994281574875,22.069994281574875,,,,,,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260721T080000_v1_ugh_v2_alpha_928ac51b7f50bb4a_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_47b47d12ae74b832,fc_USDJPY_20260721T080000_v1_ugh_v2_alpha_928ac51b7f50bb4a,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,ugh_v2_alpha,True,False,36.518137987105284,36.518137987105284,True,False,36.518137987105284,setup,False,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260721T080000_v1_ugh_v2_beta_7a9094adef86abac_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_f00f13b832c5e026,fc_USDJPY_20260721T080000_v1_ugh_v2_beta_7a9094adef86abac,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,ugh_v2_beta,True,False,35.73181189398386,35.73181189398386,True,False,35.73181189398386,setup,False,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260721T080000_v1_ugh_v2_delta_b0c717f0511d5c64_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_c47faab48cd214da,fc_USDJPY_20260721T080000_v1_ugh_v2_delta_b0c717f0511d5c64,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,ugh_v2_delta,True,False,36.09508275666863,36.09508275666863,True,False,36.09508275666863,setup,False,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260721T080000_v1_ugh_v2_gamma_eafcaea776ba9ef4_oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a_v1_e08929efb21446b3,fc_USDJPY_20260721T080000_v1_ugh_v2_gamma_eafcaea776ba9ef4,oc_USDJPY_20260721T080000_20260722T080000_v1_aaadf91a6cf81c7a,USDJPY,ugh_v2_gamma,True,False,36.950811576606725,36.950811576606725,True,False,36.950811576606725,setup,False,,False,2026-07-22T07:37:43.277268+00:00,v2,v2.5,v1,v1
