evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260907T080000_v1_baseline_prev_day_direction_27c92f602e7e5609_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_c3990a0e59991f5a,fc_USDJPY_20260907T080000_v1_baseline_prev_day_direction_27c92f602e7e5609,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,baseline_prev_day_direction,False,,128.27301641371452,75.6515699656626,,,,,,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260907T080000_v1_baseline_random_walk_ece2dea02d905c30_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_803e1a510b8d04e7,fc_USDJPY_20260907T080000_v1_baseline_random_walk_ece2dea02d905c30,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,baseline_random_walk,False,,101.96229318968857,101.96229318968857,,,,,,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260907T080000_v1_baseline_simple_technical_4268960c5b3dd663_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_857ce67d676bef03,fc_USDJPY_20260907T080000_v1_baseline_simple_technical_4268960c5b3dd663,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,baseline_simple_technical,True,,65.52244096253301,65.52244096253301,,,,,,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260907T080000_v1_ugh_v2_alpha_bfc6aefda701827a_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_e8f2ad7aa4405b16,fc_USDJPY_20260907T080000_v1_ugh_v2_alpha_bfc6aefda701827a,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,ugh_v2_alpha,False,False,101.96229318968857,101.96229318968857,False,False,-101.96229318968857,fire,True,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260907T080000_v1_ugh_v2_beta_406db1ca7e3da07f_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_f70a36547b60b004,fc_USDJPY_20260907T080000_v1_ugh_v2_beta_406db1ca7e3da07f,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,ugh_v2_beta,False,False,101.96229318968857,101.96229318968857,False,False,-101.96229318968857,fire,True,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260907T080000_v1_ugh_v2_delta_d27bd781d5d6dde9_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_36193ecdfe675d7e,fc_USDJPY_20260907T080000_v1_ugh_v2_delta_d27bd781d5d6dde9,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,ugh_v2_delta,False,False,101.96229318968857,101.96229318968857,False,False,-101.96229318968857,fire,True,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260907T080000_v1_ugh_v2_gamma_f20732d263202164_oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a_v1_dfd0f3fca6f5f714,fc_USDJPY_20260907T080000_v1_ugh_v2_gamma_f20732d263202164,oc_USDJPY_20260907T080000_20260908T080000_v1_274fbc6ad1d0847a,USDJPY,ugh_v2_gamma,False,False,101.96229318968857,101.96229318968857,False,False,-101.96229318968857,fire,True,,False,2026-09-08T09:51:41.561241+00:00,v2,v2.6,v1,v1
