strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,116,59,0.5086,,,,,,,43.43,28.4,28.58,2026-09-14T10:48:48Z
baseline_random_walk,116,0,0.0,,,,,,,27.77,15.67,27.77,2026-09-14T10:48:48Z
baseline_simple_technical,116,66,0.569,,,,,,,39.08,28.65,23.29,2026-09-14T10:48:48Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-14T10:48:48Z
ugh_v2_alpha,90,49,0.5444,65,0.7222,62,0.6966,13,0.2364,29.92,14.02,23.26,2026-09-14T10:48:48Z
ugh_v2_beta,90,49,0.5444,61,0.6778,63,0.7079,16,0.2909,29.8,15.98,23.47,2026-09-14T10:48:48Z
ugh_v2_delta,90,47,0.5222,63,0.7,64,0.7191,16,0.2909,29.98,16.11,23.5,2026-09-14T10:48:48Z
ugh_v2_gamma,90,50,0.5556,66,0.7333,64,0.7191,13,0.2364,29.69,14.06,23.31,2026-09-14T10:48:48Z
