strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,115,59,0.513,,,,,42.85,28.2,28.81,2026-09-11T12:15:20Z
baseline_random_walk,115,0,0.0,,,,,27.53,15.59,27.53,2026-09-11T12:15:20Z
baseline_simple_technical,115,65,0.5652,,,,,39.31,30.63,23.38,2026-09-11T12:15:20Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-09-11T12:15:20Z
ugh_v2_alpha,89,48,0.5393,64,0.7191,61,0.6932,29.74,13.8,23.0,2026-09-11T12:15:20Z
ugh_v2_beta,89,49,0.5506,60,0.6742,62,0.7045,29.52,14.95,23.12,2026-09-11T12:15:20Z
ugh_v2_delta,89,47,0.5281,62,0.6966,63,0.7159,29.7,14.86,23.15,2026-09-11T12:15:20Z
ugh_v2_gamma,89,49,0.5506,65,0.7303,63,0.7159,29.5,13.84,23.05,2026-09-11T12:15:20Z
