strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,64,34,0.5312,,,,,31.36,20.36,19.66,2026-07-01T08:55:04Z
baseline_random_walk,64,0,0.0,,,,,20.75,15.44,20.75,2026-07-01T08:55:04Z
baseline_simple_technical,64,39,0.6094,,,,,30.25,23.92,16.96,2026-07-01T08:55:04Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-07-01T08:55:04Z
ugh_v2_alpha,38,26,0.6842,30,0.7895,22,0.5789,15.4,10.91,11.86,2026-07-01T08:55:04Z
ugh_v2_beta,38,27,0.7105,27,0.7105,24,0.6316,14.95,11.65,11.73,2026-07-01T08:55:04Z
ugh_v2_delta,38,27,0.7105,29,0.7632,23,0.6053,15.22,11.9,11.99,2026-07-01T08:55:04Z
ugh_v2_gamma,38,27,0.7105,31,0.8158,24,0.6316,15.21,11.11,11.8,2026-07-01T08:55:04Z
