slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,all,4,2,0.5,,,,,29.19,31.71,23.84
regime_label,baseline_random_walk,all,4,0,0.0,,,,,16.01,10.7,16.01
regime_label,baseline_simple_technical,all,4,2,0.5,,,,,34.46,42.0,23.76
regime_label,ugh,all,4,1,0.25,3,0.75,4,1.0,16.07,10.83,15.86
volatility_label,baseline_prev_day_direction,all,4,2,0.5,,,,,29.19,31.71,23.84
volatility_label,baseline_random_walk,all,4,0,0.0,,,,,16.01,10.7,16.01
volatility_label,baseline_simple_technical,all,4,2,0.5,,,,,34.46,42.0,23.76
volatility_label,ugh,all,4,1,0.25,3,0.75,4,1.0,16.07,10.83,15.86
intervention_risk,baseline_prev_day_direction,all,4,2,0.5,,,,,29.19,31.71,23.84
intervention_risk,baseline_random_walk,all,4,0,0.0,,,,,16.01,10.7,16.01
intervention_risk,baseline_simple_technical,all,4,2,0.5,,,,,34.46,42.0,23.76
intervention_risk,ugh,all,4,1,0.25,3,0.75,4,1.0,16.07,10.83,15.86
