strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,39,19,0.4872,,,,,39.36,27.83,23.53,2026-05-27T10:54:54Z
baseline_random_walk,39,0,0.0,,,,,24.87,17.04,24.87,2026-05-27T10:54:54Z
baseline_simple_technical,39,19,0.4872,,,,,40.43,37.34,20.73,2026-05-27T10:54:54Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-05-27T10:54:54Z
ugh_v2_alpha,13,7,0.5385,13,1.0,11,0.8462,20.53,19.93,15.53,2026-05-27T10:54:54Z
ugh_v2_beta,13,9,0.6923,13,1.0,12,0.9231,18.68,17.61,14.74,2026-05-27T10:54:54Z
ugh_v2_delta,13,9,0.6923,13,1.0,11,0.8462,19.6,17.64,15.58,2026-05-27T10:54:54Z
ugh_v2_gamma,13,8,0.6154,13,1.0,11,0.8462,20.14,18.95,15.45,2026-05-27T10:54:54Z
