strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,52,26,0.5,,,,,34.49,22.65,20.69,2026-06-15T13:11:43Z
baseline_random_walk,52,0,0.0,,,,,22.16,16.12,22.16,2026-06-15T13:11:43Z
baseline_simple_technical,52,29,0.5577,,,,,34.55,29.85,18.52,2026-06-15T13:11:43Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-06-15T13:11:43Z
ugh_v2_alpha,26,16,0.6154,22,0.8462,15,0.5769,16.74,11.22,12.23,2026-06-15T13:11:43Z
ugh_v2_beta,26,18,0.6923,21,0.8077,17,0.6538,15.86,13.13,11.82,2026-06-15T13:11:43Z
ugh_v2_delta,26,18,0.6923,22,0.8462,16,0.6154,16.3,12.29,12.25,2026-06-15T13:11:43Z
ugh_v2_gamma,26,17,0.6538,22,0.8462,16,0.6154,16.4,11.78,12.08,2026-06-15T13:11:43Z
