strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,123,63,0.5122,,,,,,,44.08,28.6,28.62,2026-09-23T12:48:31Z
baseline_random_walk,123,0,0.0,,,,,,,28.76,17.04,28.76,2026-09-23T12:48:31Z
baseline_simple_technical,123,67,0.5447,,,,,,,41.8,32.27,23.1,2026-09-23T12:48:31Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-23T12:48:31Z
ugh_v2_alpha,97,51,0.5258,72,0.7423,68,0.7083,15,0.2419,31.85,17.38,23.8,2026-09-23T12:48:31Z
ugh_v2_beta,97,53,0.5464,68,0.701,69,0.7188,18,0.2903,31.38,17.36,24.02,2026-09-23T12:48:31Z
ugh_v2_delta,97,48,0.4948,70,0.7216,70,0.7292,18,0.2903,31.77,17.38,24.21,2026-09-23T12:48:31Z
ugh_v2_gamma,97,52,0.5361,73,0.7526,70,0.7292,15,0.2419,31.6,17.38,23.9,2026-09-23T12:48:31Z
