strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,117,59,0.5043,,,,,,,44.07,28.6,28.42,2026-09-15T15:37:12Z
baseline_random_walk,117,0,0.0,,,,,,,28.07,15.74,28.07,2026-09-15T15:37:12Z
baseline_simple_technical,117,66,0.5641,,,,,,,39.67,30.63,23.27,2026-09-15T15:37:12Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-15T15:37:12Z
ugh_v2_alpha,91,49,0.5385,66,0.7253,63,0.7,13,0.2321,30.91,14.25,23.09,2026-09-15T15:37:12Z
ugh_v2_beta,91,49,0.5385,62,0.6813,64,0.7111,16,0.2857,30.79,17.0,23.3,2026-09-15T15:37:12Z
ugh_v2_delta,91,47,0.5165,64,0.7033,65,0.7222,16,0.2857,30.97,17.36,23.32,2026-09-15T15:37:12Z
ugh_v2_gamma,91,50,0.5495,67,0.7363,65,0.7222,13,0.2321,30.66,14.27,23.16,2026-09-15T15:37:12Z
