strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,122,62,0.5082,,,,,,,44.18,28.4,28.6,2026-09-22T10:07:22Z
baseline_random_walk,122,0,0.0,,,,,,,28.91,17.16,28.91,2026-09-22T10:07:22Z
baseline_simple_technical,122,67,0.5492,,,,,,,41.65,31.74,22.97,2026-09-22T10:07:22Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-22T10:07:22Z
ugh_v2_alpha,96,50,0.5208,71,0.7396,67,0.7053,14,0.2295,32.12,17.72,23.98,2026-09-22T10:07:22Z
ugh_v2_beta,96,52,0.5417,67,0.6979,68,0.7158,17,0.2787,31.69,17.37,24.25,2026-09-22T10:07:22Z
ugh_v2_delta,96,47,0.4896,69,0.7188,69,0.7263,17,0.2787,32.08,17.45,24.44,2026-09-22T10:07:22Z
ugh_v2_gamma,96,51,0.5312,72,0.75,69,0.7263,14,0.2295,31.87,17.66,24.09,2026-09-22T10:07:22Z
