strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,124,64,0.5161,,,,,,,44.12,28.78,28.79,2026-09-24T15:51:36Z
baseline_random_walk,124,0,0.0,,,,,,,29.01,17.16,29.01,2026-09-24T15:51:36Z
baseline_simple_technical,124,68,0.5484,,,,,,,41.54,31.74,23.0,2026-09-24T15:51:36Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-24T15:51:36Z
ugh_v2_alpha,98,52,0.5306,73,0.7449,69,0.7113,15,0.2381,32.05,17.72,24.08,2026-09-24T15:51:36Z
ugh_v2_beta,98,54,0.551,69,0.7041,70,0.7216,18,0.2857,31.58,17.37,24.29,2026-09-24T15:51:36Z
ugh_v2_delta,98,49,0.5,71,0.7245,71,0.732,18,0.2857,31.97,17.45,24.48,2026-09-24T15:51:36Z
ugh_v2_gamma,98,53,0.5408,74,0.7551,71,0.732,15,0.2381,31.81,17.66,24.18,2026-09-24T15:51:36Z
