strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,121,61,0.5041,,,,,,,44.39,28.6,28.68,2026-09-21T17:07:36Z
baseline_random_walk,121,0,0.0,,,,,,,28.8,17.04,28.8,2026-09-21T17:07:36Z
baseline_simple_technical,121,67,0.5537,,,,,,,41.25,31.21,23.11,2026-09-21T17:07:36Z
ugh,26,12,0.4615,16,0.6154,26,1.0,,,27.34,18.64,27.18,2026-09-21T17:07:36Z
ugh_v2_alpha,95,50,0.5263,70,0.7368,67,0.7128,14,0.2333,32.02,17.38,23.79,2026-09-21T17:07:36Z
ugh_v2_beta,95,51,0.5368,66,0.6947,68,0.7234,17,0.2833,31.66,17.36,24.15,2026-09-21T17:07:36Z
ugh_v2_delta,95,47,0.4947,68,0.7158,69,0.734,17,0.2833,31.97,17.38,24.25,2026-09-21T17:07:36Z
ugh_v2_gamma,95,51,0.5368,71,0.7474,69,0.734,14,0.2333,31.76,17.38,23.9,2026-09-21T17:07:36Z
