strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,93,49,0.5269,,,,,38.95,27.86,26.88,2026-08-11T08:08:13Z
baseline_random_walk,93,0,0.0,,,,,25.43,15.59,25.43,2026-08-11T08:08:13Z
baseline_simple_technical,93,57,0.6129,,,,,35.19,24.21,20.98,2026-08-11T08:08:13Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-08-11T08:08:13Z
ugh_v2_alpha,67,41,0.6119,45,0.6716,44,0.6567,26.23,12.51,20.77,2026-08-11T08:08:13Z
ugh_v2_beta,67,40,0.597,41,0.6119,46,0.6866,25.97,14.63,21.1,2026-08-11T08:08:13Z
ugh_v2_delta,67,41,0.6119,43,0.6418,46,0.6866,26.05,13.46,21.01,2026-08-11T08:08:13Z
ugh_v2_gamma,67,42,0.6269,46,0.6866,46,0.6866,26.02,12.4,20.75,2026-08-11T08:08:13Z
