strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,107,56,0.5234,,,,,38.96,25.81,26.3,2026-09-01T09:53:14Z
baseline_random_walk,107,0,0.0,,,,,24.56,14.99,24.56,2026-09-01T09:53:14Z
baseline_simple_technical,107,61,0.5701,,,,,36.89,26.68,22.03,2026-09-01T09:53:14Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-09-01T09:53:14Z
ugh_v2_alpha,81,45,0.5556,59,0.7284,54,0.675,25.41,12.51,19.65,2026-09-01T09:53:14Z
ugh_v2_beta,81,46,0.5679,55,0.679,56,0.7,25.19,13.79,19.9,2026-09-01T09:53:14Z
ugh_v2_delta,81,45,0.5556,57,0.7037,56,0.7,25.33,13.25,19.81,2026-09-01T09:53:14Z
ugh_v2_gamma,81,46,0.5679,60,0.7407,56,0.7,25.17,12.34,19.69,2026-09-01T09:53:14Z
