slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,choppy,3,0,0.0,,,,,147.43,146.0,38.74
regime_label,baseline_random_walk,choppy,3,0,0.0,,,,,54.35,49.62,54.35
regime_label,baseline_simple_technical,choppy,1,0,0.0,,,,,90.3,90.3,8.93
regime_label,baseline_simple_technical,trending,2,2,1.0,,,,,42.8,42.8,42.8
regime_label,ugh,choppy,1,0,0.0,0,0.0,1,1.0,49.85,49.85,49.38
regime_label,ugh,trending,2,2,1.0,1,0.5,2,1.0,56.48,56.48,56.48
volatility_label,baseline_prev_day_direction,high,3,0,0.0,,,,,147.43,146.0,38.74
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,96.39,96.39,96.39
volatility_label,baseline_random_walk,low,1,0,0.0,,,,,17.04,17.04,17.04
volatility_label,baseline_random_walk,normal,1,0,0.0,,,,,49.62,49.62,49.62
volatility_label,baseline_simple_technical,high,2,1,0.5,,,,,75.38,75.38,34.69
volatility_label,baseline_simple_technical,normal,1,1,1.0,,,,,25.16,25.16,25.16
volatility_label,ugh,high,1,1,1.0,0,0.0,1,1.0,96.15,96.15,96.15
volatility_label,ugh,low,1,1,1.0,1,1.0,1,1.0,16.81,16.81,16.81
volatility_label,ugh,normal,1,0,0.0,0,0.0,1,1.0,49.85,49.85,49.38
intervention_risk,baseline_prev_day_direction,low,2,0,0.0,,,,,106.33,106.33,39.67
intervention_risk,baseline_prev_day_direction,medium,1,0,0.0,,,,,229.64,229.64,36.86
intervention_risk,baseline_random_walk,low,2,0,0.0,,,,,33.33,33.33,33.33
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,96.39,96.39,96.39
intervention_risk,baseline_simple_technical,low,2,1,0.5,,,,,57.73,57.73,17.04
intervention_risk,baseline_simple_technical,medium,1,1,1.0,,,,,60.45,60.45,60.45
intervention_risk,ugh,low,2,1,0.5,1,0.5,2,1.0,33.33,33.33,33.1
intervention_risk,ugh,medium,1,1,1.0,0,0.0,1,1.0,96.15,96.15,96.15
event_tag,baseline_prev_day_direction,geopolitical_shock,1,0,0.0,,,,,146.0,146.0,46.77
event_tag,baseline_prev_day_direction,oil_retreat,1,0,0.0,,,,,66.66,66.66,32.57
event_tag,baseline_prev_day_direction,us_iran,2,0,0.0,,,,,106.33,106.33,39.67
event_tag,baseline_random_walk,geopolitical_shock,1,0,0.0,,,,,49.62,49.62,49.62
event_tag,baseline_random_walk,oil_retreat,1,0,0.0,,,,,17.04,17.04,17.04
event_tag,baseline_random_walk,us_iran,2,0,0.0,,,,,33.33,33.33,33.33
event_tag,baseline_simple_technical,geopolitical_shock,1,0,0.0,,,,,90.3,90.3,8.93
event_tag,baseline_simple_technical,oil_retreat,1,1,1.0,,,,,25.16,25.16,25.16
event_tag,baseline_simple_technical,us_iran,2,1,0.5,,,,,57.73,57.73,17.04
event_tag,ugh,geopolitical_shock,1,0,0.0,0,0.0,1,1.0,49.85,49.85,49.38
event_tag,ugh,oil_retreat,1,1,1.0,1,1.0,1,1.0,16.81,16.81,16.81
event_tag,ugh,us_iran,2,1,0.5,1,0.5,2,1.0,33.33,33.33,33.1
