strategy_kind,forecast_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_abs_close_error_bp,median_abs_close_error_bp,mean_abs_magnitude_error_bp,median_abs_magnitude_error_bp
ugh,0,0,,0,,0,,0,,,,,
ugh_v2_alpha,19,11,0.5789,8,0.4211,16,0.8421,4,0.2105,32.87,20.66,28.77,12.23
ugh_v2_beta,19,10,0.5263,8,0.4211,16,0.8421,5,0.2632,33.42,24.45,29.58,14.63
ugh_v2_gamma,19,11,0.5789,8,0.4211,16,0.8421,4,0.2105,32.67,20.43,28.79,11.29
ugh_v2_delta,19,11,0.5789,8,0.4211,17,0.8947,5,0.2632,32.84,22.76,29.13,13.46
baseline_random_walk,19,0,0.0,0,,0,,0,,30.65,12.33,30.65,12.33
baseline_prev_day_direction,19,12,0.6316,0,,0,,0,,42.12,34.46,33.64,27.86
baseline_simple_technical,19,13,0.6842,0,,0,,0,,37.93,22.57,28.4,20.53
