slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,19,12,0.6316,,,,,,,42.12,34.46,33.64
regime_label,baseline_random_walk,trending,19,0,0.0,,,,,,,30.65,12.33,30.65
regime_label,baseline_simple_technical,trending,19,13,0.6842,,,,,,,37.93,22.57,28.4
regime_label,ugh_v2_alpha,trending,19,11,0.5789,8,0.4211,16,0.8421,4,0.2105,32.87,20.66,28.77
regime_label,ugh_v2_beta,trending,19,10,0.5263,8,0.4211,16,0.8421,5,0.2632,33.42,24.45,29.58
regime_label,ugh_v2_delta,trending,19,11,0.5789,8,0.4211,17,0.8947,5,0.2632,32.84,22.76,29.13
regime_label,ugh_v2_gamma,trending,19,11,0.5789,8,0.4211,16,0.8421,4,0.2105,32.67,20.43,28.79
volatility_label,baseline_prev_day_direction,high,4,3,0.75,,,,,,,79.85,40.22,78.93
volatility_label,baseline_prev_day_direction,low,6,5,0.8333,,,,,,,26.19,27.43,21.88
volatility_label,baseline_prev_day_direction,normal,9,4,0.4444,,,,,,,35.97,29.61,21.34
volatility_label,baseline_random_walk,high,4,0,0.0,,,,,,,91.34,43.3,91.34
volatility_label,baseline_random_walk,low,6,0,0.0,,,,,,,5.32,4.31,5.32
volatility_label,baseline_random_walk,normal,9,0,0.0,,,,,,,20.57,12.33,20.57
volatility_label,baseline_simple_technical,high,4,2,0.5,,,,,,,91.49,42.11,70.21
volatility_label,baseline_simple_technical,low,6,5,0.8333,,,,,,,20.71,20.31,16.4
volatility_label,baseline_simple_technical,normal,9,6,0.6667,,,,,,,25.61,24.21,17.81
volatility_label,ugh_v2_alpha,high,4,2,0.5,0,0.0,4,1.0,1,0.25,90.08,40.27,86.88
volatility_label,ugh_v2_alpha,low,6,5,0.8333,4,0.6667,5,0.8333,0,0.0,10.0,8.45,7.42
volatility_label,ugh_v2_alpha,normal,9,4,0.4444,4,0.4444,7,0.7778,3,0.3333,22.69,22.19,17.18
volatility_label,ugh_v2_beta,high,4,2,0.5,0,0.0,4,1.0,1,0.25,88.61,40.92,88.61
volatility_label,ugh_v2_beta,low,6,5,0.8333,4,0.6667,6,1.0,1,0.1667,12.03,10.56,8.19
volatility_label,ugh_v2_beta,normal,9,3,0.3333,4,0.4444,6,0.6667,3,0.3333,23.15,25.86,17.6
volatility_label,ugh_v2_delta,high,4,2,0.5,0,0.0,4,1.0,1,0.25,88.56,40.63,88.56
volatility_label,ugh_v2_delta,low,6,5,0.8333,4,0.6667,6,1.0,1,0.1667,10.92,9.57,7.63
volatility_label,ugh_v2_delta,normal,9,4,0.4444,4,0.4444,7,0.7778,3,0.3333,22.7,24.26,17.05
volatility_label,ugh_v2_gamma,high,4,2,0.5,0,0.0,4,1.0,1,0.25,90.2,40.43,87.14
volatility_label,ugh_v2_gamma,low,6,5,0.8333,4,0.6667,5,0.8333,0,0.0,9.68,7.81,7.17
volatility_label,ugh_v2_gamma,normal,9,4,0.4444,4,0.4444,7,0.7778,3,0.3333,22.43,21.45,17.26
intervention_risk,baseline_prev_day_direction,high,1,1,1.0,,,,,,,210.01,210.01,210.01
intervention_risk,baseline_prev_day_direction,low,17,11,0.6471,,,,,,,29.13,29.61,24.57
intervention_risk,baseline_prev_day_direction,medium,1,0,0.0,,,,,,,95.11,95.11,11.35
intervention_risk,baseline_random_walk,high,1,0,0.0,,,,,,,236.87,236.87,236.87
intervention_risk,baseline_random_walk,low,17,0,0.0,,,,,,,17.19,11.7,17.19
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,,,53.23,53.23,53.23
intervention_risk,baseline_simple_technical,high,1,0,0.0,,,,,,,259.66,259.66,214.08
intervention_risk,baseline_simple_technical,low,17,12,0.7059,,,,,,,25.22,22.19,17.25
intervention_risk,baseline_simple_technical,medium,1,1,1.0,,,,,,,32.27,32.27,32.27
intervention_risk,ugh_v2_alpha,high,1,0,0.0,0,0.0,1,1.0,0,0.0,243.26,243.26,230.48
intervention_risk,ugh_v2_alpha,low,17,11,0.6471,8,0.4706,14,0.8235,4,0.2353,19.3,18.35,15.47
intervention_risk,ugh_v2_alpha,medium,1,0,0.0,0,0.0,1,1.0,0,0.0,53.23,53.23,53.23
intervention_risk,ugh_v2_beta,high,1,0,0.0,0,0.0,1,1.0,0,0.0,236.87,236.87,236.87
intervention_risk,ugh_v2_beta,low,17,10,0.5882,8,0.4706,15,0.8824,5,0.2941,20.29,21.81,15.99
intervention_risk,ugh_v2_beta,medium,1,0,0.0,0,0.0,0,0.0,0,0.0,53.23,53.23,53.23
intervention_risk,ugh_v2_delta,high,1,0,0.0,0,0.0,1,1.0,0,0.0,236.87,236.87,236.87
intervention_risk,ugh_v2_delta,low,17,11,0.6471,8,0.4706,15,0.8824,5,0.2941,19.64,20.04,15.49
intervention_risk,ugh_v2_delta,medium,1,0,0.0,0,0.0,1,1.0,0,0.0,53.23,53.23,53.23
intervention_risk,ugh_v2_gamma,high,1,0,0.0,0,0.0,1,1.0,0,0.0,243.0,243.0,230.75
intervention_risk,ugh_v2_gamma,low,17,11,0.6471,8,0.4706,14,0.8235,4,0.2353,19.09,18.21,15.47
intervention_risk,ugh_v2_gamma,medium,1,0,0.0,0,0.0,1,1.0,0,0.0,53.23,53.23,53.23
