forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260707T080000_v1_baseline_prev_day_direction_e8faad0c8a1c4686,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,baseline_prev_day_direction,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,up,45.24325999380343,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260707T080000_v1_baseline_random_walk_3cf28ca2c934cc3a,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,baseline_random_walk,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260707T080000_v1_baseline_simple_technical_09210917ef4e9b84,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,baseline_simple_technical,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,up,20.7328436441397,,,,,,,,,,,,,,,,,,,,,,,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260707T080000_v1_ugh_v2_alpha_a2c718fac63b29dc,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,ugh_v2_alpha,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,up,18.963645658641923,162.15289366766103,162.62183187000954,auto,fire,0.06214432495615744,0.2791998687096277,0.2795391880190196,0.14301130592908276,0.14491746263675878,0.09118784974935368,positive,0.4192196065785331,0.8,1.0,0.11528688016272706,0.0,0.8469497019158451,0.620568759297298,-0.37943124070270196,-0.04713119837272928,0.7209695685184433,0.9097274546283256,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260707T080000_v1_ugh_v2_beta_34723b6a5ee793a0,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,ugh_v2_beta,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,up,22.42770468551745,162.2198719737405,162.66714450134526,auto,setup,0.06176796310697838,0.2783826129279955,0.2701639026723374,0.1467659121325232,0.15334957213973463,0.08957003702043093,positive,0.4192196065785331,0.8,1.0,0.11528688016272706,0.0,0.8469497019158451,0.7255984608140226,-0.27440153918597743,-0.04713119837272928,0.7421601496586218,0.9076083965143078,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260707T080000_v1_ugh_v2_delta_cc01b3f8aa1ed35c,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,ugh_v2_delta,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,up,20.657317879751364,162.18566980483084,162.6439578115592,auto,setup,0.06197051232990764,0.2788682908865066,0.2750392397314361,0.14485806452422118,0.14884402904076727,0.09041986348716119,positive,0.4192196065785331,0.8,1.0,0.11528688016272706,0.0,0.8469497019158451,0.6721982091210698,-0.32780179087893024,-0.04713119837272928,0.7313862223783917,0.9086857892423308,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260707T080000_v1_ugh_v2_gamma_5c5c8eb8a90d847b,fb_USDJPY_20260707T080000_v1_905788c74d94aec6,USDJPY,ugh_v2_gamma,2026-07-07T08:00:00+09:00,2026-07-08T08:00:00+09:00,up,18.827761192114966,162.15026158703589,162.62005911976772,auto,fire,0.06215748915265659,0.27922117916842154,0.27989335359117745,0.14286263560867923,0.14461770618213562,0.09124763629692942,positive,0.4192196065785331,0.8,1.0,0.11528688016272706,0.0,0.8469497019158451,0.6164029433357003,-0.38359705666429966,-0.04713119837272928,0.7201290818763364,0.9098115032925363,0,v2,v2.5,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
