strategy_kind,forecast_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_abs_close_error_bp,median_abs_close_error_bp,mean_abs_magnitude_error_bp,median_abs_magnitude_error_bp
ugh,7,5,0.7143,3,0.4286,7,1.0,40.41,40.48,40.28,40.48
baseline_random_walk,7,0,0.0,0,,0,,40.52,40.71,40.52,40.71
baseline_prev_day_direction,7,3,0.4286,0,,0,,81.85,51.34,32.23,31.48
baseline_simple_technical,7,5,0.7143,0,,0,,36.84,25.16,22.18,19.3
