slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
regime_label,baseline_prev_day_direction,trending,4,4,1.0,,,,,,,31.17,28.47,31.17,4,4,1.0
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,36.7,38.43,36.7,0,0,
regime_label,baseline_simple_technical,trending,4,2,0.5,,,,,,,44.17,38.19,18.02,2,4,0.5
regime_label,ugh_v2_alpha,trending,4,3,0.75,4,1.0,3,0.75,2,0.5,27.17,25.83,27.17,3,3,1.0
regime_label,ugh_v2_beta,trending,4,4,1.0,4,1.0,3,0.75,2,0.5,22.67,19.42,22.67,4,4,1.0
regime_label,ugh_v2_delta,trending,4,3,0.75,4,1.0,3,0.75,2,0.5,25.56,24.51,25.56,3,3,1.0
regime_label,ugh_v2_gamma,trending,4,3,0.75,4,1.0,3,0.75,2,0.5,27.76,26.73,27.76,3,3,1.0
volatility_label,baseline_prev_day_direction,normal,4,4,1.0,,,,,,,31.17,28.47,31.17,4,4,1.0
volatility_label,baseline_random_walk,normal,4,0,0.0,,,,,,,36.7,38.43,36.7,0,0,
volatility_label,baseline_simple_technical,normal,4,2,0.5,,,,,,,44.17,38.19,18.02,2,4,0.5
volatility_label,ugh_v2_alpha,normal,4,3,0.75,4,1.0,3,0.75,2,0.5,27.17,25.83,27.17,3,3,1.0
volatility_label,ugh_v2_beta,normal,4,4,1.0,4,1.0,3,0.75,2,0.5,22.67,19.42,22.67,4,4,1.0
volatility_label,ugh_v2_delta,normal,4,3,0.75,4,1.0,3,0.75,2,0.5,25.56,24.51,25.56,3,3,1.0
volatility_label,ugh_v2_gamma,normal,4,3,0.75,4,1.0,3,0.75,2,0.5,27.76,26.73,27.76,3,3,1.0
intervention_risk,baseline_prev_day_direction,low,3,3,1.0,,,,,,,25.03,24.99,25.03,3,3,1.0
intervention_risk,baseline_prev_day_direction,medium,1,1,1.0,,,,,,,49.56,49.56,49.56,1,1,1.0
intervention_risk,baseline_random_walk,low,3,0,0.0,,,,,,,29.01,34.75,29.01,0,0,
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,,,59.74,59.74,59.74,0,0,
intervention_risk,baseline_simple_technical,low,3,1,0.3333,,,,,,,55.38,59.33,20.52,1,3,0.3333
intervention_risk,baseline_simple_technical,medium,1,1,1.0,,,,,,,10.52,10.52,10.52,1,1,1.0
intervention_risk,ugh_v2_alpha,low,3,2,0.6667,3,1.0,2,0.6667,2,0.6667,19.18,9.53,19.18,2,2,1.0
intervention_risk,ugh_v2_alpha,medium,1,1,1.0,1,1.0,1,1.0,0,0.0,51.15,51.15,51.15,1,1,1.0
intervention_risk,ugh_v2_beta,low,3,3,1.0,3,1.0,2,0.6667,2,0.6667,13.34,4.28,13.34,3,3,1.0
intervention_risk,ugh_v2_beta,medium,1,1,1.0,1,1.0,1,1.0,0,0.0,50.64,50.64,50.64,1,1,1.0
intervention_risk,ugh_v2_delta,low,3,2,0.6667,3,1.0,2,0.6667,2,0.6667,17.08,6.9,17.08,2,2,1.0
intervention_risk,ugh_v2_delta,medium,1,1,1.0,1,1.0,1,1.0,0,0.0,51.01,51.01,51.01,1,1,1.0
intervention_risk,ugh_v2_gamma,low,3,2,0.6667,3,1.0,2,0.6667,2,0.6667,19.8,11.35,19.8,2,2,1.0
intervention_risk,ugh_v2_gamma,medium,1,1,1.0,1,1.0,1,1.0,0,0.0,51.67,51.67,51.67,1,1,1.0
