strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,3,0.75,,,,,17.2,15.79,14.41
baseline_random_walk,4,0,0.0,,,,,9.91,10.23,9.91
baseline_simple_technical,4,4,1.0,,,,,8.0,7.98,8.0
ugh_v2_alpha,4,4,1.0,3,0.75,0,0.0,9.76,9.86,9.76
ugh_v2_beta,4,3,0.75,2,0.5,0,0.0,11.4,10.85,11.4
ugh_v2_delta,4,3,0.75,2,0.5,0,0.0,11.03,10.4,11.03
ugh_v2_gamma,4,4,1.0,3,0.75,0,0.0,9.69,9.77,9.69
