strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,38,19,0.5,,,,,39.72,28.02,23.5,2026-05-26T13:51:03Z
baseline_random_walk,38,0,0.0,,,,,24.86,16.77,24.86,2026-05-26T13:51:03Z
baseline_simple_technical,38,18,0.4737,,,,,41.15,38.17,20.94,2026-05-26T13:51:03Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-05-26T13:51:03Z
ugh_v2_alpha,12,6,0.5,12,1.0,11,0.9167,21.32,20.2,15.91,2026-05-26T13:51:03Z
ugh_v2_beta,12,8,0.6667,12,1.0,12,1.0,19.1,17.76,14.83,2026-05-26T13:51:03Z
ugh_v2_delta,12,8,0.6667,12,1.0,11,0.9167,20.22,18.72,15.87,2026-05-26T13:51:03Z
ugh_v2_gamma,12,7,0.5833,12,1.0,11,0.9167,20.83,19.31,15.74,2026-05-26T13:51:03Z
