strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,5,3,0.6,,,,,58.4,31.48,31.73
baseline_random_walk,5,0,0.0,,,,,35.32,40.71,35.32
baseline_simple_technical,5,4,0.8,,,,,28.93,19.3,12.66
ugh,5,4,0.8,3,0.6,5,1.0,35.18,40.48,35.08
