slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,5,3,0.6,,,,,,,24.08,11.89,12.09
regime_label,baseline_random_walk,trending,5,0,0.0,,,,,,,16.34,11.85,16.34
regime_label,baseline_simple_technical,trending,5,4,0.8,,,,,,,13.48,4.11,7.93
regime_label,ugh_v2_alpha,trending,5,3,0.6,3,0.6,2,0.4,,,13.85,4.23,10.92
regime_label,ugh_v2_beta,trending,5,3,0.6,3,0.6,2,0.4,,,14.03,3.23,10.78
regime_label,ugh_v2_delta,trending,5,3,0.6,3,0.6,2,0.4,,,13.95,3.64,10.84
regime_label,ugh_v2_gamma,trending,5,3,0.6,3,0.6,2,0.4,,,13.95,4.61,11.21
volatility_label,baseline_prev_day_direction,high,1,0,0.0,,,,,,,47.99,47.99,24.29
volatility_label,baseline_prev_day_direction,normal,4,3,0.75,,,,,,,18.1,7.52,9.04
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,,,36.14,36.14,36.14
volatility_label,baseline_random_walk,normal,4,0,0.0,,,,,,,11.4,10.6,11.4
volatility_label,baseline_simple_technical,high,1,0,0.0,,,,,,,50.0,50.0,22.28
volatility_label,baseline_simple_technical,normal,4,4,1.0,,,,,,,4.35,3.86,4.35
volatility_label,ugh_v2_alpha,high,1,0,0.0,0,0.0,0,0.0,,,43.46,43.46,28.81
volatility_label,ugh_v2_alpha,normal,4,3,0.75,3,0.75,2,0.5,,,6.45,3.81,6.45
volatility_label,ugh_v2_beta,high,1,0,0.0,0,0.0,0,0.0,,,44.26,44.26,28.01
volatility_label,ugh_v2_beta,normal,4,3,0.75,3,0.75,2,0.5,,,6.47,3.17,6.47
volatility_label,ugh_v2_delta,high,1,0,0.0,0,0.0,0,0.0,,,43.89,43.89,28.39
volatility_label,ugh_v2_delta,normal,4,3,0.75,3,0.75,2,0.5,,,6.46,3.49,6.46
volatility_label,ugh_v2_gamma,high,1,0,0.0,0,0.0,0,0.0,,,43.0,43.0,29.27
volatility_label,ugh_v2_gamma,normal,4,3,0.75,3,0.75,2,0.5,,,6.69,4.14,6.69
intervention_risk,baseline_prev_day_direction,low,5,3,0.6,,,,,,,24.08,11.89,12.09
intervention_risk,baseline_random_walk,low,5,0,0.0,,,,,,,16.34,11.85,16.34
intervention_risk,baseline_simple_technical,low,5,4,0.8,,,,,,,13.48,4.11,7.93
intervention_risk,ugh_v2_alpha,low,5,3,0.6,3,0.6,2,0.4,,,13.85,4.23,10.92
intervention_risk,ugh_v2_beta,low,5,3,0.6,3,0.6,2,0.4,,,14.03,3.23,10.78
intervention_risk,ugh_v2_delta,low,5,3,0.6,3,0.6,2,0.4,,,13.95,3.64,10.84
intervention_risk,ugh_v2_gamma,low,5,3,0.6,3,0.6,2,0.4,,,13.95,4.61,11.21
