evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260902T080000_v1_baseline_prev_day_direction_9764f89802194971_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_2bb5c3e5fd687a30,fc_USDJPY_20260902T080000_v1_baseline_prev_day_direction_9764f89802194971,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,baseline_prev_day_direction,False,,118.08660333169637,62.993633945858036,,,,,,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260902T080000_v1_baseline_random_walk_9f5fe0411e16f0a1_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_7934b625dd367729,fc_USDJPY_20260902T080000_v1_baseline_random_walk_9f5fe0411e16f0a1,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,baseline_random_walk,False,,90.5401186387772,90.5401186387772,,,,,,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260902T080000_v1_baseline_simple_technical_c8ec80f0bb02854e_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_3030807c7b44677d,fc_USDJPY_20260902T080000_v1_baseline_simple_technical_c8ec80f0bb02854e,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,baseline_simple_technical,False,,116.26933310154908,64.81090417600532,,,,,,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260902T080000_v1_ugh_v2_alpha_5cb5810c90d9a140_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_d3fa93d9c73e9e18,fc_USDJPY_20260902T080000_v1_ugh_v2_alpha_5cb5810c90d9a140,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,ugh_v2_alpha,False,False,104.07293964171576,77.00729763583864,True,False,-104.07293964171576,setup,False,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260902T080000_v1_ugh_v2_beta_814b3c8e63b422b2_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_bea47966aed44277,fc_USDJPY_20260902T080000_v1_ugh_v2_beta_814b3c8e63b422b2,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,ugh_v2_beta,False,False,107.14219441577895,73.93804286177546,True,False,-107.14219441577895,setup,False,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260902T080000_v1_ugh_v2_delta_c978e3801ee16750_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_47c2c6c0b68de824,fc_USDJPY_20260902T080000_v1_ugh_v2_delta_c978e3801ee16750,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,ugh_v2_delta,False,False,105.71672928297902,75.36350799457539,True,False,-105.71672928297902,setup,False,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260902T080000_v1_ugh_v2_gamma_16c666536e02cd28_oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953_v1_14862ae7612a362d,fc_USDJPY_20260902T080000_v1_ugh_v2_gamma_16c666536e02cd28,oc_USDJPY_20260902T080000_20260903T080000_v1_587bcf1e9db81953,USDJPY,ugh_v2_gamma,False,False,103.00533335990065,78.07490391765376,True,False,-103.00533335990065,setup,False,,False,2026-09-03T06:01:18.277475+00:00,v2,v2.6,v1,v1
