strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,3,0.75,,,,,10.51,8.47,9.89
baseline_random_walk,4,0,0.0,,,,,11.75,11.89,11.75
baseline_simple_technical,4,3,0.75,,,,,11.49,11.7,10.87
ugh_v2_alpha,4,3,0.75,3,0.75,4,1.0,6.88,7.66,6.25
ugh_v2_beta,4,3,0.75,3,0.75,4,1.0,7.15,7.36,6.53
ugh_v2_delta,4,3,0.75,3,0.75,4,1.0,6.86,7.49,6.23
ugh_v2_gamma,4,3,0.75,3,0.75,4,1.0,6.96,6.85,6.33
