strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,114,59,0.5175,,,,,42.48,28.03,28.83,2026-09-10T12:16:40Z
baseline_random_walk,114,0,0.0,,,,,27.28,15.44,27.28,2026-09-10T12:16:40Z
baseline_simple_technical,114,65,0.5702,,,,,38.82,28.65,23.43,2026-09-10T12:16:40Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-09-10T12:16:40Z
ugh_v2_alpha,88,48,0.5455,63,0.7159,60,0.6897,28.92,13.79,23.14,2026-09-10T12:16:40Z
ugh_v2_beta,88,49,0.5568,59,0.6705,61,0.7011,28.75,14.88,23.22,2026-09-10T12:16:40Z
ugh_v2_delta,88,47,0.5341,61,0.6932,62,0.7126,28.92,14.33,23.27,2026-09-10T12:16:40Z
ugh_v2_gamma,88,49,0.5568,64,0.7273,62,0.7126,28.68,13.82,23.19,2026-09-10T12:16:40Z
