evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260508T080000_v1_baseline_prev_day_direction_151b4683d8ec77ba_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_bb8b0fa3b0ffb1aa,fc_USDJPY_20260508T080000_v1_baseline_prev_day_direction_151b4683d8ec77ba,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,baseline_prev_day_direction,False,,49.18914410753002,18.59445993390765,,,,,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260508T080000_v1_baseline_random_walk_7b0f72a25a1dcfd1_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_c9cf7ca033bb4a45,fc_USDJPY_20260508T080000_v1_baseline_random_walk_7b0f72a25a1dcfd1,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,baseline_random_walk,False,,15.297342086811186,15.297342086811186,,,,,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260508T080000_v1_baseline_simple_technical_4521d1440877a057_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_06f64f6758af7385,fc_USDJPY_20260508T080000_v1_baseline_simple_technical_4521d1440877a057,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,baseline_simple_technical,True,,21.907014545172636,21.907014545172636,,,,,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260508T080000_v1_ugh_v2_alpha_092e179852553e5d_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_739b1c33af06b288,fc_USDJPY_20260508T080000_v1_ugh_v2_alpha_092e179852553e5d,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,ugh_v2_alpha,True,True,11.137668417966776,11.137668417966776,False,-11.137668417966776,setup,True,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260508T080000_v1_ugh_v2_beta_f5e201837cfa03b6_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_e2c8dbbc1bdbf3cd,fc_USDJPY_20260508T080000_v1_ugh_v2_beta_f5e201837cfa03b6,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,ugh_v2_beta,False,True,17.921961172628162,12.67272300099421,True,-17.921961172628162,setup,False,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260508T080000_v1_ugh_v2_delta_aba58a7343b2bebe_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_82d16e314985d26e,fc_USDJPY_20260508T080000_v1_ugh_v2_delta_aba58a7343b2bebe,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,ugh_v2_delta,True,True,14.864488365699017,14.864488365699017,False,-14.864488365699017,setup,True,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
ev_fc_USDJPY_20260508T080000_v1_ugh_v2_gamma_1c5218eeddd6f348_oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5_v1_5c785a64e808ab88,fc_USDJPY_20260508T080000_v1_ugh_v2_gamma_1c5218eeddd6f348,oc_USDJPY_20260508T080000_20260511T080000_v1_0838e2421e7aeca5,USDJPY,ugh_v2_gamma,True,True,11.275730462379023,11.275730462379023,False,-11.275730462379023,setup,True,,False,2026-05-11T08:29:36.012105+00:00,v2,v2,v1,v1
