metric,value
total_observations,28
ai_annotated_count,28
auto_annotated_count,0
manual_annotated_count,0
fallback_annotated_count,0
unannotated_count,0
evidence_ref_count,0
model_version,deterministic-v1
prompt_version,deterministic-p1
